# File: ind_subsector_revised.csv,,,,,,,,
# Title: Mapping from calibrated industry sectors and fuels to supplysector / subsector / technology / input in GCAM to generate non-CO2 emissions,,,,,,,,
# Units: n/a,,,,,,,,
# Column types: ccccccccc,,,,,,,,
# ----------,,,,,,,,
sector,fuel,supplysector,subsector.original,subsector.emissions,technology,minicam.energy.input,calibration,secondary.output
iron and steel,electricity,iron and steel,BLASTFUR,electricity,BF_BOF,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,gas,BF_BOF,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,coal,BF_BOF,delivered coal industry,output,
iron and steel,refined liquids,iron and steel,BLASTFUR,refined liquids,BF_BOF,refined liquids industrial,output,
iron and steel,electricity,iron and steel,BLASTFUR,electricity,BF_BOF_CCS_73%,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,gas,BF_BOF_CCS_73%,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,coal,BF_BOF_CCS_73%,delivered coal industry,output,
iron and steel,electricity,iron and steel,BLASTFUR,electricity,BF_BOF_CCS_86%,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,gas,BF_BOF_CCS_86%,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,coal,BF_BOF_CCS_86%,delivered coal industry,output,
iron and steel,electricity,iron and steel,BLASTFUR,electricity,BF_BOF_BECCSmin,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,gas,BF_BOF_BECCSmin,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,coal,BF_BOF_BECCSmin,delivered coal industry,output,
iron and steel,biomass,iron and steel,BLASTFUR,biomass,BF_BOF_BECCSmin,delivered biomass industry,output,
iron and steel,electricity,iron and steel,BLASTFUR,electricity,BF_BOF_BECCSmax,elect_td_ind,output,
iron and steel,gas,iron and steel,BLASTFUR,gas,BF_BOF_BECCSmax,wholesale gas,output,
iron and steel,coal,iron and steel,BLASTFUR,coal,BF_BOF_BECCSmax,delivered coal industry,output,
iron and steel,biomass,iron and steel,BLASTFUR,biomass,BF_BOF_BECCSmax,delivered biomass industry,output,
iron and steel,electricity,iron and steel,Smelting reduction,electricity,SR_BOF,elect_td_ind,output,
iron and steel,gas,iron and steel,Smelting reduction,gas,SR_BOF,wholesale gas,output,
iron and steel,coal,iron and steel,Smelting reduction,coal,SR_BOF,delivered coal industry,output,
iron and steel,electricity,iron and steel,Smelting reduction,electricity,SR_BOF_CCS,elect_td_ind,output,
iron and steel,gas,iron and steel,Smelting reduction,gas,SR_BOF_CCS,wholesale gas,output,
