# File: A23.globaltech_input_driver.csv
# Title: Electricity primary input name to drive non-co2 emissions
# Units: Unitless
# Comments: Used to identify which is the appropriate input to drive non-co2 emissions
# Column types: cccc
# ----------
supplysector,subsector,technology,input.name
electricity,biomass,biomass (conv CCS),regional biomass
electricity,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (IGCC CCS),regional biomass
electricity,biomass,biomass (IGCC),regional biomass
electricity,coal,coal (conv pul CCS),regional coal
electricity,coal,coal (conv pul),regional coal
electricity,coal,coal (IGCC CCS),regional coal
electricity,coal,coal (IGCC),regional coal
electricity,gas,gas (CC CCS),gas pipeline
electricity,gas,gas (CC),gas pipeline
electricity,gas,gas (steam/CT),gas pipeline
electricity,geothermal,geothermal,geothermal
electricity,nuclear,Gen_II_LWR,nuclearFuelGenII
electricity,nuclear,Gen_III,nuclearFuelGenIII
electricity,refined liquids,refined liquids (CC CCS),refining
electricity,refined liquids,refined liquids (CC),refining
electricity,refined liquids,refined liquids (steam/CT),refining
electricity,solar,CSP,global solar resource
electricity,solar,PV,global solar resource
electricity,wind,wind,onshore wind resource
electricity,wind,wind_offshore,offshore wind resource
elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar
