# File: A323.ccs_adders.csv,,,,
# Title: IRONSTL CCS adders,,,,
# Units: 1975$/kg for supplysector IRONSTL,,,,
# Column types: ccccn,,,,
# ----------,,,,
supplysector,subsector,stub.technology,minicam.non.energy.input,ccs_cost_adder
iron and steel,BLASTFUR,BF_BOF,non-energy,0
iron and steel,BLASTFUR,BF_BOF_CCS_73%,non-energy,0.00689
iron and steel,BLASTFUR,BF_BOF_CCS_86%,non-energy,0.00689
iron and steel,BLASTFUR,BF_BOF_BECCSmin,non-energy,0.00689
iron and steel,BLASTFUR,BF_BOF_BECCSmax,non-energy,0.00689
iron and steel,Smelting reduction,SR_BOF,non-energy,0
iron and steel,Smelting reduction,SR_BOF_CCS,non-energy,0.00689
iron and steel,EAF with DRI,DRI_EAF_NG,non-energy,0
iron and steel,EAF with DRI,DRI_EAF_NG_CCS,non-energy,0.00689
iron and steel,EAF with DRI,DRI_EAF_coal,non-energy,0
iron and steel,EAF with DRI,DRI_EAF_coal_CCS,non-energy,0.00689
iron and steel,EAF with DRI,DRI_EAF_BECCS,non-energy,0.00689
iron and steel,EAF with DRI,DRI_EAF_H2,non-energy,0
iron and steel,SAF with DRI,DRI_SAF_BOF_NG,non-energy,0
iron and steel,SAF with DRI,DRI_SAF_BOF_H2,non-energy,0
iron and steel,SAF with DRI,DRI_SAF_BOF_BECCS,non-energy,0.00689
iron and steel,Electrolysis,AEL_EAF,non-energy,0
iron and steel,Electrolysis,MOE,non-energy,0
iron and steel,EAF with scrap,EAF_scrap_fossil_NG_finish,non-energy,0
iron and steel,EAF with scrap,EAF_scrap_bio_NG_finish,non-energy,0
iron and steel,EAF with scrap,EAF_scrap_fossil_elec_finish,non-energy,0
iron and steel,EAF with scrap,EAF_scrap_bio_elec_finish,non-energy,0
