# File: A323.globaltech_coef.csv,,,,,,,
# Title: IRONSTL production default coefficients,,,,,,,
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per kg (EJ of energy per Mt of IRONSTL),,,,,,,
# Comments: charcoal_prop is the proportion of bioenergy that comes from charcoal,,,,,,,
# Column types: ccccnnnn,,,,,,,
# ----------,,,,,,,
supplysector,subsector,technology,minicam.energy.input,charcoal_prop,1971,2010,2100
BF_BOF,BF_BOF,BF_BOF,elect_td_ind,,4.73E-04,4.73E-04,4.73E-04
BF_BOF,BF_BOF,BF_BOF,wholesale gas,,0,0,0
BF_BOF,BF_BOF,BF_BOF,delivered coal industry,,0.021145411,0.021145411,0.021145411
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,elect_td_ind,,0.003481526,0.003481526,0.003481526
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,wholesale gas,,0,0,0
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,delivered coal industry,,0.021145411,0.021145411,0.021145411
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,elect_td_ind,,0.004130652,0.004130652,0.004130652
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,wholesale gas,,0,0,0
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,delivered coal industry,,0.021145411,0.021145411,0.021145411
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,elect_td_ind,,0.00349028,0.00349028,0.00349028
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,wholesale gas,,0.00058,0.00058,0.00058
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,delivered coal industry,,0.014109881,0.014109881,0.014109881
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,delivered biomass industry,1,0.006457984,0.006457984,0.006457984
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,elect_td_ind,,0.003498084,0.003498084,0.003498084
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,wholesale gas,,0.00058,0.00058,0.00058
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,delivered coal industry,,0.012959383,0.012959383,0.012959383
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,delivered biomass industry,1,0.007619336,0.007619336,0.007619336
SR_BOF,SR_BOF,SR_BOF,elect_td_ind,,0.002120395,0.002120395,0.002120395
SR_BOF,SR_BOF,SR_BOF,wholesale gas,,0.00114,0.00114,0.00114
SR_BOF,SR_BOF,SR_BOF,delivered coal industry,,0.013784268,0.013784268,0.013784268
SR_BOF_CCS,SR_BOF_CCS,SR_BOF_CCS,elect_td_ind,,0.002993667,0.002993667,0.002993667
SR_BOF_CCS,SR_BOF_CCS,SR_BOF_CCS,wholesale gas,,0.00114,0.00114,0.00114
SR_BOF_CCS,SR_BOF_CCS,SR_BOF_CCS,delivered coal industry,,0.013784268,0.013784268,0.013784268
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,elect_td_ind,,0.002046731,0.002046731,0.002046731
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,wholesale gas,,0.01328,0.01328,0.01328
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,delivered coal industry,,7.96E-05,7.96E-05,7.96E-05
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,elect_td_ind,,0.00270881,0.00270881,0.00270881
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,wholesale gas,,0.01328,0.01328,0.01328
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,delivered coal industry,,7.96E-05,7.96E-05,7.96E-05
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,elect_td_ind,,0.00442379,0.00442379,0.00442379
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,wholesale gas,,0.00191,0.00191,0.00191
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,delivered coal industry,,0.021479927,0.021479927,0.021479927
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,elect_td_ind,,0.009796144,0.009796144,0.009796144
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,wholesale gas,,0.00191,0.00191,0.00191
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,delivered coal industry,,0.021479927,0.021479927,0.021479927
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,elect_td_ind,,0.003871925,0.003871925,0.003871925
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,delivered biomass industry,0.02073,0.01699,0.01699,0.01699
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,elect_td_ind,,0.002703442,0.002703442,0.002703442
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,H2 industrial,,0.01087,0.01087,0.01087
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,delivered biomass industry,1,5.75E-04,5.75E-04,5.75E-04
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,elect_td_ind,,0.002606229,0.002606229,0.002606229
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,wholesale gas,,0.01262,0.01262,0.01262
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,delivered coal industry,,1.10E-04,1.10E-04,1.10E-04
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,elect_td_ind,,0.002606229,0.002606229,0.002606229
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,H2 industrial,,0.01011,0.01011,0.01011
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,delivered biomass industry,1,0.001549519,0.001549519,0.001549519
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,elect_td_ind,,0.006054223,0.006054223,0.006054223
