# File: A323.globaltech_cost.csv,,,,,,,,
# Title: IRONSTL default costs,,,,,,,,
# Source: OPEX and CAPEX and material costs from Wuppertal Institute data,,,,,,,,
# Units: 1975$/kg for supplysector IRONSTL,,,,,,,,
# Column types: ccccnnnnn,,,,,,,,
# ----------,,,,,,,,
supplysector,subsector,technology,minicam.non.energy.input,1971,2020,2030,2050,2100
iron and steel,BLASTFUR,BF_BOF,non-energy,0.150584165,0.150584165,0.151118625,0.152989236,0.152989236
iron and steel,BLASTFUR,BF_BOF_CCS_73%,non-energy,0.269735389,0.269735389,0.269735389,0.271338769,0.271338769
iron and steel,BLASTFUR,BF_BOF_CCS_86%,non-energy,0.379317866,0.379317866,0.379317866,0.381188477,0.381188477
iron and steel,BLASTFUR,BF_BOF_BECCSmin,non-energy,0.271338769,0.271338769,0.271338769,0.27294215,0.27294215
iron and steel,BLASTFUR,BF_BOF_BECCSmax,non-energy,0.271606,0.271606,0.271606,0.27347661,0.27347661
iron and steel,Smelting reduction,SR_BOF,non-energy,0.305918482,0.305918482,0.260802209,0.209349266,0.209349266
iron and steel,Smelting reduction,SR_BOF_CCS,non-energy,0.307661086,0.307661086,0.307661086,0.255940914,0.255940914
iron and steel,EAF with DRI,DRI_EAF_NG,non-energy,0.377198791,0.377198791,0.378802171,0.382008933,0.382008933
iron and steel,EAF with DRI,DRI_EAF_NG_CCS,non-energy,0.391166983,0.391166983,0.391166983,0.394373744,0.394373744
iron and steel,EAF with DRI,DRI_EAF_coal,non-energy,0.379065906,0.379065906,0.379065906,0.382272667,0.382272667
iron and steel,EAF with DRI,DRI_EAF_coal_CCS,non-energy,0.421021033,0.421021033,0.421021033,0.424227794,0.424227794
iron and steel,EAF with DRI,DRI_EAF_BECCS,non-energy,0.421060263,0.421060263,0.421060263,0.421861954,0.421861954
iron and steel,EAF with DRI,DRI_EAF_H2,non-energy,0.379871092,0.379871092,0.379871092,0.380672782,0.380672782
iron and steel,SAF with DRI,DRI_SAF_BOF_NG,non-energy,0.445204261,0.445204261,0.446273181,0.447074871,0.447074871
iron and steel,SAF with DRI,DRI_SAF_BOF_H2,non-energy,0.44360088,0.44360088,0.447342101,0.448143792,0.448143792
iron and steel,SAF with DRI,DRI_SAF_BOF_BECCS,non-energy,0.475376474,0.475376474,0.475376474,0.476445394,0.476445394
iron and steel,Electrolysis,AEL_EAF,non-energy,0.469612472,0.469612472,0.469612472,0.469612472,0.469612472
iron and steel,Electrolysis,MOE,non-energy,0.382576854,0.382576854,0.382576854,0.382576854,0.382576854
iron and steel,EAF with scrap,EAF_scrap_fossil,non-energy,0.160049536,0.160049536,0.173678271,0.173678271,0.173678271
iron and steel,EAF with scrap,EAF_scrap_bio,non-energy,0.160049536,0.160049536,0.173678271,0.173678271,0.173678271
iron and steel,BLASTFUR,BF_BOF,non-capital,0.083108563,0.083108563,0.083643023,0.085513634,0.085513634
iron and steel,BLASTFUR,BF_BOF_CCS_73%,non-capital,0.092194387,0.092194387,0.092194387,0.093797767,0.093797767
iron and steel,BLASTFUR,BF_BOF_CCS_86%,non-capital,0.093263307,0.093263307,0.093263307,0.095133918,0.095133918
iron and steel,BLASTFUR,BF_BOF_BECCSmin,non-capital,0.093797767,0.093797767,0.093797767,0.095401148,0.095401148
iron and steel,BLASTFUR,BF_BOF_BECCSmax,non-capital,0.094064998,0.094064998,0.094064998,0.095935608,0.095935608
iron and steel,Smelting reduction,SR_BOF,non-capital,0.09967683,0.09967683,0.09967683,0.094599458,0.094599458
iron and steel,Smelting reduction,SR_BOF_CCS,non-capital,0.10154744,0.10154744,0.10154744,0.096202838,0.096202838
iron and steel,EAF with DRI,DRI_EAF_NG,non-capital,0.114641716,0.114641716,0.116245096,0.119451858,0.119451858
iron and steel,EAF with DRI,DRI_EAF_NG_CCS,non-capital,0.117046787,0.117046787,0.117046787,0.120253548,0.120253548
iron and steel,EAF with DRI,DRI_EAF_coal,non-capital,0.116512326,0.116512326,0.116512326,0.119719088,0.119719088
iron and steel,EAF with DRI,DRI_EAF_coal_CCS,non-capital,0.117046787,0.117046787,0.117046787,0.120253548,0.120253548
iron and steel,EAF with DRI,DRI_EAF_BECCS,non-capital,0.117046787,0.117046787,0.117046787,0.117848477,0.117848477
iron and steel,EAF with DRI,DRI_EAF_H2,non-capital,0.117314017,0.117314017,0.117314017,0.118115707,0.118115707
iron and steel,SAF with DRI,DRI_SAF_BOF_NG,non-capital,0.108495423,0.108495423,0.109564344,0.110366034,0.110366034
iron and steel,SAF with DRI,DRI_SAF_BOF_H2,non-capital,0.106892043,0.106892043,0.110633264,0.111434954,0.111434954
iron and steel,SAF with DRI,DRI_SAF_BOF_BECCS,non-capital,0.111702185,0.111702185,0.111702185,0.112771105,0.112771105
iron and steel,Electrolysis,AEL_EAF,non-capital,0.098607909,0.098607909,0.098607909,0.098607909,0.098607909
iron and steel,Electrolysis,MOE,non-capital,0.083910253,0.083910253,0.083910253,0.083910253,0.083910253
iron and steel,EAF with scrap,EAF_scrap_fossil,non-capital,0.10074575,0.10074575,0.10074575,0.10074575,0.10074575
iron and steel,EAF with scrap,EAF_scrap_bio,non-capital,0.10074575,0.10074575,0.10074575,0.10074575,0.10074575
