# File: A323.globaltech_retirement.csv,,,,,,,,,
# Title: IRONSTL technology lifetimes and shutdown rates,,,,,,,,,
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness,,,,,,,,,
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years,,,,,,,,,
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.,,,,,,,,,
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability.,,,,,,,,,
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.,,,,,,,,,
# Column types: ccccicnnni,,,,,,,,,
# ----------,,,,,,,,,
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
BF_BOF,BF_BOF,BF_BOF,final-calibration-year,25,,12.5,0.3,-0.5,6
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,final-calibration-year,25,,12.5,0.3,-0.5,6
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,final-calibration-year,25,,12.5,0.3,-0.5,6
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,final-calibration-year,25,,12.5,0.3,-0.5,6
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,final-calibration-year,25,,12.5,0.3,-0.5,6
SR_BOF,SR_BOF,SR_BOF,final-calibration-year,25,,12.5,0.3,-0.5,6
SR_BOF_CCS,SR_BOF_CCS,SR_BOF_CCS,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,final-calibration-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,final-calibration-year,25,,12.5,0.3,-0.5,6
AEL_EAF,AEL_EAF,AEL_EAF,final-calibration-year,25,,12.5,0.3,-0.5,6
MOE,MOE,MOE,final-calibration-year,25,,12.5,0.3,-0.5,6
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,final-calibration-year,25,,12.5,0.3,-0.5,6
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,final-calibration-year,25,,12.5,0.3,-0.5,6
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,final-calibration-year,25,,12.5,0.3,-0.5,6
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,final-calibration-year,25,,12.5,0.3,-0.5,6
BF_BOF,BF_BOF,BF_BOF,initial-future-year,25,,12.5,0.3,-0.5,6
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,initial-future-year,25,,12.5,0.3,-0.5,6
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,initial-future-year,25,,12.5,0.3,-0.5,6
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,initial-future-year,25,,12.5,0.3,-0.5,6
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,initial-future-year,25,,12.5,0.3,-0.5,6
SR_BOF,SR_BOF,SR_BOF,initial-future-year,25,,12.5,0.3,-0.5,6
SR_BOF_CCS,SR_BOF_CCS,SR_BOF_CCS,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,initial-future-year,25,,12.5,0.3,-0.5,6
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,initial-future-year,25,,12.5,0.3,-0.5,6
AEL_EAF,AEL_EAF,AEL_EAF,initial-future-year,25,,12.5,0.3,-0.5,6
MOE,MOE,MOE,initial-future-year,25,,12.5,0.3,-0.5,6
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,initial-future-year,25,,12.5,0.3,-0.5,6
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,initial-future-year,25,,12.5,0.3,-0.5,6
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,initial-future-year,25,,12.5,0.3,-0.5,6
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,initial-future-year,25,,12.5,0.3,-0.5,6
