# File: A323.sector.csv,,,,,,
# Title: Iron and steel sector default supplysector information (units and logit exponents),,,,,,
# Units: In file,,,,,,
# Column types: ccccicc,,,,,,
# ----------,,,,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
BF_BOF,Mt,EJ,1975$/kg,-3,industry,
BF_BOF_CCS_73%,Mt,EJ,1975$/kg,-3,industry,
BF_BOF_CCS_86%,Mt,EJ,1975$/kg,-3,industry,
BF_BOF_BECCSmin,Mt,EJ,1975$/kg,-3,industry,
BF_BOF_BECCSmax,Mt,EJ,1975$/kg,-3,industry,
SR_BOF,Mt,EJ,1975$/kg,-3,industry,
SR_BOF_CCS,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_NG,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_NG_CCS,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_coal,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_coal_CCS,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_BECCS,Mt,EJ,1975$/kg,-3,industry,
DRI_EAF_H2,Mt,EJ,1975$/kg,-3,industry,
DRI_SAF_BOF_NG,Mt,EJ,1975$/kg,-3,industry,
DRI_SAF_BOF_H2,Mt,EJ,1975$/kg,-3,industry,
DRI_SAF_BOF_BECCS,Mt,EJ,1975$/kg,-3,industry,
AEL_EAF,Mt,EJ,1975$/kg,-3,industry,
MOE,Mt,EJ,1975$/kg,-3,industry,
EAF_scrap_fossil_NG_finish,Mt,EJ,1975$/kg,-3,industry,
EAF_scrap_bio_NG_finish,Mt,EJ,1975$/kg,-3,industry,
EAF_scrap_fossil_elec_finish,Mt,EJ,1975$/kg,-3,industry,
EAF_scrap_bio_elec_finish,Mt,EJ,1975$/kg,-3,industry,
