# File: A323.sector_mapping.csv,,
# Title: Mapping between old iron and steel sectors with new separated iron sector and steel sector,,
# Units: In file,,
# Column types: ccc,,
# ----------,,
iron_and_steel,iron,steel
BF_BOF,BF_coal,BOF
BF_BOF_CCS_73%,BF_CCS_73%,BOF
BF_BOF_CCS_86%,BF_CCS_86%,BOF
BF_BOF_BECCSmin,BF_BECCSmin,BOF
BF_BOF_BECCSmax,BF_BECCSmax,BOF
SR_BOF,SmeltRed,BOF
SR_BOF_CCS,SmeltRed_CCS,BOF
DRI_EAF_NG,DRI_NG,EAF
DRI_EAF_NG_CCS,DRI_NG_CCS,EAF
DRI_EAF_coal,DRI_coal,EAF
DRI_EAF_coal_CCS,DRI_coal_CCS,EAF
DRI_EAF_BECCS,DRI_BECCS,EAF
DRI_EAF_H2,DRI_H2,EAF
DRI_SAF_BOF_NG,DRI_SAF_NG,BOF
DRI_SAF_BOF_H2,DRI_SAF_H2,BOF
DRI_SAF_BOF_BECCS,DRI_SAF_BECCS,BOF
AEL_EAF,AEL,EAF
MOE,MOE_iron,MOE
EAF_scrap_fossil_NG_finish,scrap_fossil_NG_finish,EAF
EAF_scrap_bio_NG_finish,scrap_bio_NG_finish,EAF
EAF_scrap_fossil_elec_finish,scrap_fossil_elec_finish,EAF
EAF_scrap_bio_elec_finish,scrap_bio_elec_finish,EAF
