# File: A323.subsector_logit.csv,,,
# Title: Iron and steel default subsector logit exponents,,,
# Units: Unitless,,,
# Column types: ccic ,,,
# ----------,,,
supplysector,subsector,logit.exponent,logit.type
BF_BOF,BF_BOF,-6,
BF_BOF_CCS_73%,BF_BOF_CCS_73%,-6,
BF_BOF_CCS_86%,BF_BOF_CCS_86%,-6,
BF_BOF_BECCSmin,BF_BOF_BECCSmin,-6,
BF_BOF_BECCSmax,BF_BOF_BECCSmax,-6,
SR_BOF,SR_BOF,-6,
SR_BOF_CCS,SR_BOF_CCS,-6,
DRI_EAF_NG,DRI_EAF_NG,-6,
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,-6,
DRI_EAF_coal,DRI_EAF_coal,-6,
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,-6,
DRI_EAF_BECCS,DRI_EAF_BECCS,-6,
DRI_EAF_H2,DRI_EAF_H2,-6,
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,-6,
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,-6,
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,-6,
AEL_EAF,AEL_EAF,-6,
MOE,MOE,-6,
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,-6,
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,-6,
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,-6,
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,-6,
