# File: A3231.sector.csv,,,,,,
# Title: Iron sector default supplysector information (units and logit exponents),,,,,,
# Units: In file,,,,,,
# Column types: ccccicc,,,,,,
# ----------,,,,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
BF_coal,Mt,EJ,1975$/kg,-3,industry,
BF_CCS_73%,Mt,EJ,1975$/kg,-3,industry,
BF_CCS_86%,Mt,EJ,1975$/kg,-3,industry,
BF_BECCSmin,Mt,EJ,1975$/kg,-3,industry,
BF_BECCSmax,Mt,EJ,1975$/kg,-3,industry,
DRI_NG,Mt,EJ,1975$/kg,-3,industry,
DRI_NG_CCS,Mt,EJ,1975$/kg,-3,industry,
DRI_coal,Mt,EJ,1975$/kg,-3,industry,
DRI_coal_CCS,Mt,EJ,1975$/kg,-3,industry,
DRI_BECCS,Mt,EJ,1975$/kg,-3,industry,
DRI_H2,Mt,EJ,1975$/kg,-3,industry,
