# File: A3231.subsector_logit.csv,,,
# Title: Iron default subsector logit exponents,,,
# Units: Unitless,,,
# Column types: ccic ,,,
# ----------,,,
supplysector,subsector,logit.exponent,logit.type
BF_coal,BF_coal,-6,
BF_CCS_73%,BF_CCS_73%,-6,
BF_CCS_86%,BF_CCS_86%,-6,
BF_BECCSmin,BF_BECCSmin,-6,
BF_BECCSmax,BF_BECCSmax,-6,
SmeltRed,SmeltRed,-6,
SmeltRed_CCS,SmeltRed_CCS,-6,
DRI_SAF_NG,DRI_SAF_NG,-6,
DRI_SAF_H2,DRI_SAF_H2,-6,
DRI_SAF_BECCS,DRI_SAF_BECCS,-6,
DRI_NG,DRI_NG,-6,
DRI_NG_CCS,DRI_NG_CCS,-6,
DRI_coal,DRI_coal,-6,
DRI_coal_CCS,DRI_coal_CCS,-6,
DRI_BECCS,DRI_BECCS,-6,
DRI_H2,DRI_H2,-6,
AEL,AEL,-6,
scrap_fossil_NG_finish,scrap_fossil_NG_finish,-6,
scrap_bio_NG_finish,scrap_bio_NG_finish,-6,
scrap_fossil_elec_finish,scrap_fossil_elec_finish,-6,
scrap_bio_elec_finish,scrap_bio_elec_finish,-6,
MOE_iron,MOE_iron,-6,
