# File: A3232.globaltech_retirement.csv,,,,,,,,,
# Title: Steel technology lifetimes and shutdown rates,,,,,,,,,
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness,,,,,,,,,
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years,,,,,,,,,
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.,,,,,,,,,
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability.,,,,,,,,,
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.,,,,,,,,,
# Column types: ccccicnnni,,,,,,,,,
# ----------,,,,,,,,,
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
EAF_coal_NG,EAF_coal_NG,EAF_coal_NG,final-calibration-year,50,,25,0.3,-0.5,6
EAF_charcoal_H2,EAF_charcoal_H2,EAF_charcoal_H2,final-calibration-year,50,,25,0.3,-0.5,6
EAF_charcoal_elec,EAF_charcoal_elec,EAF_charcoal_elec,final-calibration-year,50,,25,0.3,-0.5,6
Smelter_NG,Smelter_NG,Smelter_NG,final-calibration-year,50,,25,0.3,-0.5,6
Smelter_H2,Smelter_H2,Smelter_H2,final-calibration-year,50,,25,0.3,-0.5,6
Smelter_Electric,Smelter_Electric,Smelter_Electric,final-calibration-year,50,,25,0.3,-0.5,6
BOF,BOF,BOF,final-calibration-year,50,,25,0.3,-0.5,6
EAF_coal_NG,EAF_coal_NG,EAF_coal_NG,initial-future-year,50,,25,0.3,-0.5,6
EAF_charcoal_H2,EAF_charcoal_H2,EAF_charcoal_H2,initial-future-year,50,,25,0.3,-0.5,6
EAF_charcoal_elec,EAF_charcoal_elec,EAF_charcoal_elec,initial-future-year,50,,25,0.3,-0.5,6
Smelter_NG,Smelter_NG,Smelter_NG,initial-future-year,50,,25,0.3,-0.5,6
Smelter_H2,Smelter_H2,Smelter_H2,initial-future-year,50,,25,0.3,-0.5,6
Smelter_Electric,Smelter_Electric,Smelter_Electric,initial-future-year,50,,25,0.3,-0.5,6
BOF,BOF,BOF,initial-future-year,50,,25,0.3,-0.5,6
