# File: A3233.globaltech_coef.csv,,,,,
# Title: Steel production default coefficients,,,,,
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per kg (EJ of energy per Mt of IRONSTL),,,,,
# Comments: charcoal_prop is the proportion of bioenergy that comes from charcoal,,,,,
# Column types: ccccnn,,,,,
# ----------,,,,,
supplysector,subsector,technology,minicam.energy.input,1975,2100
BF_BOF,BF_BOF,BF_BOF,BF_coal,1,1
BF_BOF,BF_BOF,BF_BOF,BOF,1,1
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_CCS_73%,1,1
BF_BOF_CCS_73%,BF_BOF_CCS_73%,BF_BOF_CCS_73%,BOF,1,1
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_CCS_86%,1,1
BF_BOF_CCS_86%,BF_BOF_CCS_86%,BF_BOF_CCS_86%,BOF,1,1
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BECCSmin,1,1
BF_BOF_BECCSmin,BF_BOF_BECCSmin,BF_BOF_BECCSmin,BOF,1,1
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BECCSmax,1,1
BF_BOF_BECCSmax,BF_BOF_BECCSmax,BF_BOF_BECCSmax,BOF,1,1
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,DRI_NG,1.08,1.08
DRI_EAF_NG,DRI_EAF_NG,DRI_EAF_NG,EAF_coal_NG,1,1
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_NG_CCS,1.08,1.08
DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,EAF_coal_NG,1,1
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,DRI_coal,1.08,1.08
DRI_EAF_coal,DRI_EAF_coal,DRI_EAF_coal,EAF_coal_NG,1,1
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_coal_CCS,1.08,1.08
DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,EAF_coal_NG,1,1
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_BECCS,1.08,1.08
DRI_EAF_BECCS,DRI_EAF_BECCS,DRI_EAF_BECCS,EAF_charcoal_elec,1,1
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,regional DRI_H2,1.08,1.08
DRI_EAF_H2,DRI_EAF_H2,DRI_EAF_H2,EAF_charcoal_H2,1,1
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_NG,1.2,1.2
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,BOF,1,1
DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,Smelter_NG,1,1
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,regional DRI_H2,1.2,1.2
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,BOF,1,1
DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,Smelter_H2,1,1
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_BECCS,1.2,1.2
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,BOF,1,1
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,Smelter_Electric,1,1
