# File: A_irnstl_base_shareweights.csv,,,,
# Title: Technology shareweights to serve as reference for techs that aren't used in 2015,,,,
# Units: NA,,,,
# Comments: 2015 shareweights,,,,
# Column types: ccccn,,,,
# ----------,,,,
region,sector,subsector,technology,shareweight
Africa_Eastern,regional iron and steel,domestic iron and steel,BF_BOF,9.46E-04
Africa_Eastern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0205794
Africa_Eastern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Africa_Northern,regional iron and steel,domestic iron and steel,BF_BOF,0.0539472
Africa_Northern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,5.25912
Africa_Northern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Africa_Southern,regional iron and steel,domestic iron and steel,BF_BOF,0.00103802
Africa_Southern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0232265
Africa_Southern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Africa_Western,regional iron and steel,domestic iron and steel,BF_BOF,0.00164355
Africa_Western,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0277065
Africa_Western,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Argentina,regional iron and steel,domestic iron and steel,BF_BOF,1
Argentina,regional iron and steel,domestic iron and steel,DRI_EAF_NG,20.5909
Argentina,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,2.27257
Australia_NZ,regional iron and steel,domestic iron and steel,BF_BOF,1
Australia_NZ,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0857824
Australia_NZ,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.631805
Brazil,regional iron and steel,domestic iron and steel,BF_BOF,1
Brazil,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.157815
Brazil,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.01594
Canada,regional iron and steel,domestic iron and steel,BF_BOF,1
Canada,regional iron and steel,domestic iron and steel,DRI_EAF_NG,4.00478
Canada,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.80892
Central America and Caribbean,regional iron and steel,domestic iron and steel,BF_BOF,9.69E-05
Central America and Caribbean,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0249114
Central America and Caribbean,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Central Asia,regional iron and steel,domestic iron and steel,BF_BOF,1
Central Asia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.121536
Central Asia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.946379
China,regional iron and steel,domestic iron and steel,BF_BOF,1
China,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.110593
China,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.643708
