# File: A_irnstl_regions.csv,
# Title: OECD regions for semi-bilateral trade,
# Units: NA,
# Column types: cc,
# ----------,
region,sector
USA,nonEU
Australia_NZ,nonEU
Canada,nonEU
EU-12,EU
EU-15,EU
Europe_Non_EU,nonEU
European Free Trade Association,nonEU
Japan,nonEU
Mexico,nonEU
South Korea,nonEU
Colombia,nonEU
Argentina,nonEU
Brazil,nonEU
China,nonEU
India,nonEU
Russia,nonEU
South Africa,nonEU
Taiwan,nonEU
Indonesia,nonEU
Africa_Eastern,nonEU
Africa_Northern,nonEU
Africa_Southern,nonEU
Africa_Western,nonEU
Central America and Caribbean,nonEU
Central Asia,nonEU
Europe_Eastern,nonEU
Middle East,nonEU
Pakistan,nonEU
South America_Northern,nonEU
South America_Southern,nonEU
South Asia,nonEU
Southeast Asia,nonEU
