# File: EURef2020_elec_params.csv
# Title: Technology cost assumptions by year from EU Reference Scenario 2020
# Units: 2015 Euros or specified
# Source: https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en
# Users can specify how technologies are mapped to GCAM technologies in energy/mappings/EURef2020_elec_gcam_mapping.csv.
# Column types: cccnnnn
# ----------
tech_type,variable,Units,2020,2030,2040,2050
Steam turbine coal conventional,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1450,1450,1450,1450
Steam turbine coal conventional,"Fixed Operation and Maintenance costs, annually",EUR/kW,25.6,25.6,25.6,25.6
Steam turbine coal conventional,Variable non fuel cost,EUR/kW,2.4,2.4,2.4,2.4
Steam turbine coal conventional,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.3767106017191978,0.42,0.425,0.43
Steam turbine coal conventional,Self Consumption of electricity,%,0.087,0.087,0.087,0.087
Steam turbine coal conventional,Technical lifetime,Years,40,40,40,40
Steam turbine lignite conventional,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1700,1700,1700,1700
Steam turbine lignite conventional,"Fixed Operation and Maintenance costs, annually",EUR/kW,32.5,32.5,32.5,32.5
Steam turbine lignite conventional,Variable non fuel cost,EUR/kW,3,3,3,3
Steam turbine lignite conventional,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37,0.375,0.375,0.375
Steam turbine lignite conventional,Self Consumption of electricity,%,0.115,0.115,0.115,0.115
Steam turbine lignite conventional,Technical lifetime,Years,40,40,40,40
Steam turbine coal supercritical,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1650,1650,1650,1650
Steam turbine coal supercritical,"Fixed Operation and Maintenance costs, annually",EUR/kW,41.482805,35.666084999999995,31.703444499999996,30.939999999999998
Steam turbine coal supercritical,Variable non fuel cost,EUR/kW,3.63164315758331,3.51163876075309,3.37506943870731,3.34593495934959
Steam turbine coal supercritical,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.44999999999999996,0.45500000000000007,0.465,0.47000000000000003
Steam turbine coal supercritical,Self Consumption of electricity,%,0.07320000000000004,0.07320000000000004,0.07320000000000004,0.07320000000000004
Steam turbine coal supercritical,Technical lifetime,Years,40,40,40,40
