# File: WEO2022_elec_params.csv,,,,,,,
# Title: Power technology assumptions of WEO2022,,,,,,,
# Units: in file,,,,,,,
# Source: WEO 2022 (https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2022-free-dataset#tables-for-scenario-projections),,,,,,,
# Comments: WEO technologies are mapped to GCAM technologies in energy/mappings/weo_elec_mapping.csv. Regions are mapped in energy/mappings/weo_elec_mapping.csv,,,,,,,
# Column types: cnnncccc,,,,,,,
# ----------,,,,,,,
region,2021,2030,2050,scenario,Unit,technology,subsector
European Union,1700,1700,1700,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
United States,1800,1800,1800,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Japan,2100,2100,2100,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Russia,1700,1700,1700,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
China,600,600,600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
India,1000,1000,1000,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Middle East,1300,1300,1300,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Africa,1300,1300,1300,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Brazil,1300,1300,1300,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
European Union,2000,2000,2000,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
United States,2100,2100,2100,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Japan,2400,2400,2400,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Russia,2000,2000,2000,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
China,700,700,700,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
India,1200,1200,1200,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Middle East,1600,1600,1600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Africa,1600,1600,1600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Brazil,1600,1600,1600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
European Union,2200,2200,2200,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,2300,2300,2300,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
