# File: comtrade_ff_trade_adjEUR.csv
# Title: Comtrade trade of fossil fuels
# Source: Eurostat
# Units: NA
# Column types: iiiiciinnni 
# ----------
Year,Reporter_Code,Trade_Flow_Code,Partner_Code,Classification,Commodity_Code,Quantity_Unit_Code,Supplementary_Quantity,Netweight_(kg),Value,Estimation_Code
2008,276,1,0,HS,271121,8,80544260000,80544260000,43555788634,0
2008,276,1,528,HS,271121,8,16988494465,16988494465,9186840554,0
2008,276,1,579,HS,271121,8,24230103139,24230103139,13102873512,0
2008,276,1,643,HS,271121,8,34408290624,34408290624,18606915423,0
2008,276,1,839,HS,271121,8,4917371772,4917371772,2659159145,0
2008,276,1,0,HS,271111,8,14970,14970,19840,0
2008,276,1,839,HS,271111,8,14970,14970,19840,0
2010,276,1,0,HS,271121,8,83325160000,83325160000,31442368677,0
2010,276,1,528,HS,271121,8,19361539316,19361539316,7305988459,0
2010,276,1,579,HS,271121,8,25375243352,25375243352,9575232220,0
2010,276,1,643,HS,271121,8,30127008906,30127008906,11368289256,0
2010,276,1,839,HS,271121,8,8461368427,8461368427,3192858743,0
2015,276,1,0,HS,271121,8,97220960000,97220960000,31322954205,0
2015,276,1,528,HS,271121,8,32113722876,32113722876,10346500086,0
2015,276,1,579,HS,271121,8,20858036437,20858036437,6720107682,0
2015,276,1,643,HS,271121,8,41372110203,41372110203,13329396390,0
2015,276,1,839,HS,271121,8,2877090484,2877090484,926950047.5,0
2015,276,1,0,HS,271111,8,34299328,34299328,13985846,0
2015,276,1,839,HS,271111,8,34299328,34299328,13985846,0
2008,616,1,0,HS,271121,8,9941237789,9941237789,5375907010,0
2008,616,1,276,HS,271121,8,804031551.3,804031551.3,434794835.8,0
2008,616,1,643,HS,271121,8,6907039253,6907039253,3735108396,0
2008,616,1,795,HS,271121,8,2225729725,2225729725,1203604247,0
2008,616,1,839,HS,271121,8,4437260.217,4437260.217,2399529.999,0
2010,616,1,0,HS,271121,8,9655070068,9655070068,3643296607,0
2010,616,1,276,HS,271121,8,1004056392,1004056392,378876095,0
2010,616,1,643,HS,271121,8,8645696520,8645696520,3262414107,0
2010,616,1,839,HS,271121,8,5317156.531,5317156.531,2006404.74,0
2015,616,1,0,HS,271121,8,11185950142,11185950142,3603924545,0
2015,616,1,276,HS,271121,8,2959377855,2959377855,953461651.1,0
2015,616,1,643,HS,271121,8,8207624057,8207624057,2644358094,0
2015,616,1,839,HS,271121,8,18948229.99,18948229.99,6104800.242,0
2015,616,1,0,HS,271111,8,120767601.9,120767601.9,38909285.24,0
2015,616,1,634,HS,271111,8,120767601.9,120767601.9,38909285.24,0
