# File: steel_intensity.csv,,,,,
# Title: IO in steel production by subsector and technology and ratio of IO coefficients relative to conventional tech,,,,,
# Units: GJ/t,,,,,
# Description: Energy coefficient in steel production,,,,,
# Source: Literature,,,,,
# Column types: cccncn,,,,,
# ----------,,,,,
subsector,technology,fuel,value,Unit,ratio
BLASTFUR,BF_BOF,gas,0.54,GJ/t,1
BLASTFUR,BF_BOF,coal,19.48,GJ/t,1
BLASTFUR,BF_BOF,refined liquids,0.01,GJ/t,1
BLASTFUR,BF_BOF_CCS_73%,gas,0.54,GJ/t,1
BLASTFUR,BF_BOF_CCS_73%,electricity,2.77,GJ/t,
BLASTFUR,BF_BOF_CCS_73%,coal,19.48,GJ/t,1
BLASTFUR,BF_BOF_CCS_86%,gas,0.54,GJ/t,1
BLASTFUR,BF_BOF_CCS_86%,electricity,3.13,GJ/t,
BLASTFUR,BF_BOF_CCS_86%,coal,19.48,GJ/t,1
BLASTFUR,BF_BOF_BECCSmin,biomass,5.95,GJ/t,
BLASTFUR,BF_BOF_BECCSmin,gas,0.54,GJ/t,1
BLASTFUR,BF_BOF_BECCSmin,electricity,2.78,GJ/t,
BLASTFUR,BF_BOF_BECCSmin,coal,13,GJ/t,0.667351129
BLASTFUR,BF_BOF_BECCSmax,biomass,7.02,GJ/t,
BLASTFUR,BF_BOF_BECCSmax,gas,0.54,GJ/t,1
BLASTFUR,BF_BOF_BECCSmax,electricity,2.79,GJ/t,
BLASTFUR,BF_BOF_BECCSmax,coal,11.94,GJ/t,0.612936345
Smelting reduction,SR_BOF,electricity,1.52,GJ/t,1
Smelting reduction,SR_BOF,coal,12.7,GJ/t,1
Smelting reduction,SR_BOF_CCS,electricity,2.32,GJ/t,1.526315789
Smelting reduction,SR_BOF_CCS,coal,12.7,GJ/t,1
EAF with DRI,DRI_EAF_NG,gas,10.47,GJ/t,1
EAF with DRI,DRI_EAF_NG,electricity,1.45,GJ/t,1
EAF with DRI,DRI_EAF_NG,coal,0.07,GJ/t,1
EAF with DRI,DRI_EAF_NG,refined liquids,0.01,GJ/t,1
EAF with DRI,DRI_EAF_NG_CCS,gas,10.47,GJ/t,1
EAF with DRI,DRI_EAF_NG_CCS,electricity,2.06,GJ/t,1.420689655
EAF with DRI,DRI_EAF_NG_CCS,coal,0.07,GJ/t,1
EAF with DRI,DRI_EAF_coal,electricity,3.64,GJ/t,2.510344828
EAF with DRI,DRI_EAF_coal,coal,19.79,GJ/t,282.7142857
EAF with DRI,DRI_EAF_coal_CCS,electricity,8.59,GJ/t,5.924137931
EAF with DRI,DRI_EAF_coal_CCS,coal,19.79,GJ/t,282.7142857
EAF with DRI,DRI_EAF_BECCS,biomass,13.14,GJ/t,
EAF with DRI,DRI_EAF_BECCS,electricity,3.09,GJ/t,2.131034483
EAF with DRI,DRI_EAF_H2,biomass,0.53,GJ/t,
EAF with DRI,DRI_EAF_H2,electricity,2.06,GJ/t,1.420689655
EAF with DRI,DRI_EAF_H2,Hydrogen,8.25,GJ/t,
SAF with DRI,DRI_SAF_BOF_NG,gas,9.86,GJ/t,1
SAF with DRI,DRI_SAF_BOF_NG,electricity,1.97,GJ/t,1
SAF with DRI,DRI_SAF_BOF_NG,coal,0.1,GJ/t,1
SAF with DRI,DRI_SAF_BOF_H2,biomass,1.43,GJ/t,
SAF with DRI,DRI_SAF_BOF_H2,electricity,1.97,GJ/t,1
SAF with DRI,DRI_SAF_BOF_H2,Hydrogen,7.55,GJ/t,
SAF with DRI,DRI_SAF_BOF_BECCS,biomass,13.45,GJ/t,
SAF with DRI,DRI_SAF_BOF_BECCS,electricity,5.1,GJ/t,2.588832487
Electrolysis,AEL_EAF,biomass,0.37,GJ/t,1
Electrolysis,AEL_EAF,electricity,13.37,GJ/t,1
Electrolysis,MOE,electricity,14.76,GJ/t,1.103964099
EAF with scrap,EAF_scrap_fossil,gas,0.41,GJ/t,1
EAF with scrap,EAF_scrap_fossil,electricity,2.06,GJ/t,1
EAF with scrap,EAF_scrap_fossil,coal,0.37,GJ/t,1
EAF with scrap,EAF_scrap_fossil,scrap,1100,GJ/t,1
EAF with scrap,EAF_scrap_fossil,refined liquids,0.01,GJ/t,1
EAF with scrap,EAF_scrap_bio,biomass,0.37,GJ/t,
EAF with scrap,EAF_scrap_bio,electricity,2.46,GJ/t,1.194174757
EAF with scrap,EAF_scrap_bio,scrap,1100,GJ/t,1
