# File: A_Biofuel_Targets.csv
# Title: Biofuel (and biodiesel) targets
# Units: Refined liquid proportion
# Column types: cccnnnn
# ----------
region,market,policy.portfolio.standard,2020,2025,2030,2100
Argentina,Argentina,biofuel-target,0.06,0.06,0.06,0.06
Argentina,Argentina,biodiesel-target,0.05,0.05,0.05,0.05
Brazil,Brazil,biofuel-target,0.135,0.135,0.135,0.135
Brazil,Brazil,biodiesel-target,0.05,0.05,0.05,0.05
Canada,Canada,biofuel-target,0.037,0.037,0.037,0.037
China,China,biofuel-target,0.011,0.011,0.011,0.011
EU-12,EU,biofuel-target,0.06,,,
EU-12,EU,adv-biofuel-target,,0.01,0.035,0.035
EU-15,EU,biofuel-target,0.06,,,
EU-15,EU,adv-biofuel-target,,0.01,0.035,0.035
Indonesia,Indonesia,biofuel-target,0.05,0.1,0.1,0.1
Indonesia,Indonesia,biodiesel-target,0.075,0.125,0.15,0.15
India,India,biofuel-target,0.042,0.042,0.042,0.042
South Korea,South Korea,biofuel-target,0.013,0.013,0.013,0.013
South Africa,South Africa,biofuel-target,0.025,0.05,0.05,0.05
USA,USA,biofuel-target,0.1156,0.1156,0.1156,0.1156
