# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciinnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
caps_NDC.xml,Africa_Eastern,GHG,ALL_GHG_NOAGPR,,,,2020,,878.9839662,998.8373524,,,,,,,,,,,,,,
caps_NDC.xml,Africa_Southern,GHG,ALL_GHG_NOAGPR,,,,2020,,653.7905407,587.205093,,,,,,,,,,,,,,
caps_NDC.xml,Africa_Western,GHG,ALL_GHG_NOAGPR,,,,2020,,1454.546261,1385.581013,,,,,,,,,,,,,,
caps_NDC.xml,Argentina,GHG,ALL_GHG_NOAGPR,,,,2020,,402.9273927,349,,,,,,,,,,,,,,
caps_NDC.xml,Australia_NZ,GHG,ALL_GHG_NOAGPR,,,,2020,,557.8462616,362,,,,,,,,,,,,,,
caps_NDC.xml,Brazil,GHG,ALL_GHG_NOAGPR,,,,2020,,1482,1176,,,,,,,,,,,,,,
caps_NDC.xml,Canada,GHG,ALL_GHG_NOAGPR_LUC0175,,,,2020,,600,438,,,,,,,,,,,,,,
caps_NDC.xml,Central America and Caribbean,GHG,ALL_GHG_NOAGPR,,,,2020,,359.4470503,336.8569778,,,,,,,,,,,,,,
caps_NDC.xml,Central Asia,GHG,ALL_GHG_NOAGPR,,,,2020,,810.2677628,837.1278718,,,,,,,,,,,,,,
caps_NDC.xml,China,GHG,CO2_FFI,,,,2020,,12014.14577,12163.34872,,,,,,,,,,,,,,
caps_NDC.xml,Colombia,GHG,ALL_GHG_NOAGPR,,,,2020,,207.4959177,169.5,,,,,,,,,,,,,,
