# File: A_CTax.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon taxes by region,,,,,,,,,,,,,,,,,,,,,,
# Units: 1990$/tC,,,,,,,,,,,,,,,,,,,,,,
# Comments: link.type needs to correspoond to a link.type in A_Ctax_Link; give different ghgpolicy names for different regions if not linked; market.overwrite writes the region name to the market name,,,,,,,,,,,,,,,,,,,,,,
# Leave tax empty for all but 1 linked regions (same ghgpolicy),,,,,,,,,,,,,,,,,,,,,,
# Column types: cccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,link.type,market,ghgpolicy,year.fillout,market.overwrite,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_ctax_can_GHG_2030.xml,ALL_GHG_NOAGPR_LUC0175_NoSteel,Canada,GHG,,,27.5,130.625,233.75,,,,,,,,,,,,,,
policy_ctax_can_GHG.xml,ALL_GHG_NOAGPR_LUC0175_NoSteel,Canada,GHG,2030,,27.5,130.625,233.75,,,,,,,,,,,,,,
policy_ctax_jpn_GHG_2030.xml,GHG_NO_LUC_AGPR_NoSteel,Japan,GHG,,,1.4,1.4,1.4,,,,,,,,,,,,,,
policy_ctax_jpn_GHG.xml,GHG_NO_LUC_AGPR_NoSteel,Japan,GHG,2030,,1.4,1.4,1.4,,,,,,,,,,,,,,
policy_ctax_mex_GHG_2030.xml,GHG_NO_LUC_AGPR_NoSteel,Mexico,GHG,,,1.75,1.75,1.75,,,,,,,,,,,,,,
policy_ctax_mex_GHG.xml,GHG_NO_LUC_AGPR_NoSteel,Mexico,GHG,2030,,1.75,1.75,1.75,,,,,,,,,,,,,,
policy_ctax_saf_2030.xml,GHG_NO_LUC_AGPR_NoSteel,South Africa,GHG,,,0.32,1.2,6.2,,,,,,,,,,,,,,
policy_ctax_saf.xml,GHG_NO_LUC_AGPR_NoSteel,South Africa,GHG,2030,,0.32,1.2,6.2,,,,,,,,,,,,,,
policy_ctax_idn_2030.xml,GHG_NO_LUC_AGPR_NoSteel,Indonesia,GHG,,,,2.1,2.1,,,,,,,,,,,,,,
policy_ctax_idn.xml,GHG_NO_LUC_AGPR_NoSteel,Indonesia,GHG,2030,,,2.1,2.1,,,,,,,,,,,,,,
policy_ccap_eu_2020.xml,,EU,CO2_ETS,,,20,,,,,,,,,,,,,,,,
policy_ccap_efta_2020.xml,,European Free Trade Association,CO2_ETS,,,20,,,,,,,,,,,,,,,,
policy_ctax_eu_luc,,EU,CO2_LUC,2030,,5,25,45,,,,,,,,,,,,,,
policy_ctax_usa_luc,,USA,CO2_LUC,2030,,,20,40,,,,,,,,,,,,,,
policy_ctax_jpn_luc,,Japan,CO2_LUC,2030,,,30,50,,,,,,,,,,,,,,
price_nonco2_mac_CP.xml,,Argentina,nonCO2,,,4.67437,4.67437,4.67437,,,,,,,,,,,,,,
price_nonco2_mac_CP.xml,,Australia_NZ,nonCO2,,,2.51E-05,101.387,192.785,,,,,,,,,,,,,,
