# File: A_Coef_Eff.csv,,,,,,,,,,,,
# Title: Technology coefficients/efficiency add-ons,,,,,,,,,,,,
# Comments: type should be either efficiency or coefficient,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,
# Column types: cccccccnnnnnn,,,,,,,,,,,,
# ----------,,,,,,,,,,,,
xml,type,region,supplysector,subsector,stub.technology,minicam.energy.input,2020,2025,2030,2035,2040,2100
policy_effcool_ind.xml,efficiency,India,resid cooling,electricity,electricity,elect_td_bld,,,2.7375,2.847,2.847,
policy_tdloss_rus.xml,coefficient,Russia,elect_td_ind,elect_td_ind,elect_td_ind,electricity_net_ownuse,,1.09,1.08,1.08,1.08,1.08
policy_tdloss_rus.xml,coefficient,Russia,elect_td_bld,elect_td_bld,elect_td_bld,electricity_net_ownuse,,1.09,1.08,1.08,1.08,1.08
policy_tdloss_rus.xml,coefficient,Russia,elect_td_trn,elect_td_trn,elect_td_trn,electricity_net_ownuse,,1.09,1.08,1.08,1.08,1.08
policy_tdloss_rus.xml,coefficient,Russia,elect_td_en,elect_td_en,elect_td_en,electricity_net_ownuse,,1.09,1.08,1.08,1.08,1.08
policy_nucEff_rus.xml,efficiency,Russia,elec_Gen_III,Gen_III,Gen_III (once through),nuclearFuelGenIII,,0.345,0.36,0.36,0.36,0.36
policy_nucEff_rus.xml,efficiency,Russia,elec_Gen_III,Gen_III,Gen_III (seawater),nuclearFuelGenIII,,0.345,0.36,0.36,0.36,0.36
policy_nucEff_rus.xml,efficiency,Russia,elec_Gen_III,Gen_III,Gen_III (recirculating),nuclearFuelGenIII,,0.345,0.36,0.36,0.36,0.36
policy_nucEff_rus.xml,efficiency,Russia,elec_Gen_III,Gen_III,Gen_III (cooling pond),nuclearFuelGenIII,,0.345,0.36,0.36,0.36,0.36
policy_effcool_chn.xml,efficiency,China,resid cooling,electricity,electricity,elect_td_bld,,,3.13240325,3.13240325,3.13240325,
policy_effcool_chn.xml,efficiency,China,resid cooling,electricity,electricity,elect_td_bld,,,3.251506,3.251506,3.251506,
