# File: A_FuelStandards_Market_OutputOverwrite.csv,,,,,,,,,
# Title: Fuel Standard Policies Market Output Coefficient to Overwrite,,,,,,,,,
# Comments: The EU has special counting rules for EV trucks,,,,,,,,,
# Units: NA,,,,,,,,,
# Column types: ccccccnnnn,,,,,,,,,
# ----------,,,,,,,,,
policy_name,market,region,supplysector,tranSubsector,stub.technology,2020,2025,2030,2100
fuelst_mkt_eu_lighttruck,EU,EU-12,trn_freight_road,Light truck,BEV,,2,,
fuelst_mkt_eu_lighttruck,EU,EU-12,trn_freight_road,Light truck,FCEV,,2,,
fuelst_mkt_eu_lighttruck,EU,EU-15,trn_freight_road,Light truck,BEV,,2,,
fuelst_mkt_eu_lighttruck,EU,EU-15,trn_freight_road,Light truck,FCEV,,2,,
fuelst_mkt_eu_medtruck,EU,EU-12,trn_freight_road,Medium truck,BEV,,2,,
fuelst_mkt_eu_medtruck,EU,EU-12,trn_freight_road,Medium truck,FCEV,,2,,
fuelst_mkt_eu_medtruck,EU,EU-15,trn_freight_road,Medium truck,BEV,,2,,
fuelst_mkt_eu_medtruck,EU,EU-15,trn_freight_road,Medium truck,FCEV,,2,,
fuelst_mkt_eu_heavytruck,EU,EU-12,trn_freight_road,Heavy truck,BEV,,2,,
fuelst_mkt_eu_heavytruck,EU,EU-12,trn_freight_road,Heavy truck,FCEV,,2,,
fuelst_mkt_eu_heavytruck,EU,EU-15,trn_freight_road,Heavy truck,BEV,,2,,
fuelst_mkt_eu_heavytruck,EU,EU-15,trn_freight_road,Heavy truck,FCEV,,2,,
fuelst_mkt_eu,EU,EU-12,trn_pass_road_LDV_4W,Car,BEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,BEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Mini Car,BEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Car,BEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,BEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-12,trn_pass_road_LDV_4W,Car,FCEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Mini Car,FCEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Car,FCEV,,1.33,1.33,1.33
fuelst_mkt_eu,EU,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,,1.33,1.33,1.33
