# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Brazil traded high-carbon iron and steel_OECD,Brazil traded high-carbon iron and steel_OECD,CBAM,,0.027758535,0.042548094,0.041615881,0.044600925,0.040618823,0.030276146,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Brazil traded low-carbon iron and steel_OECD,Brazil traded low-carbon iron and steel_OECD,CBAM,,0.003246764,0.004224987,0.003718372,0.0037126,0.003394942,0.002607617,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Brazil traded med-carbon iron and steel_OECD,Brazil traded med-carbon iron and steel_OECD,CBAM,,0.012565323,0.015287798,0.013449574,0.013652789,0.012606965,0.009687287,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,China traded high-carbon iron and steel_OECD,China traded high-carbon iron and steel_OECD,CBAM,,0.038442181,0.049788445,0.044344889,0.044976434,0.041069644,0.030885514,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,China traded low-carbon iron and steel_OECD,China traded low-carbon iron and steel_OECD,CBAM,,0.003415508,0.004457891,0.003970908,0.00401084,0.003671072,0.002798486,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,China traded med-carbon iron and steel_OECD,China traded med-carbon iron and steel_OECD,CBAM,,0.012674242,0.015316239,0.013411981,0.013612823,0.012588749,0.009686039,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,India traded high-carbon iron and steel_OECD,India traded high-carbon iron and steel_OECD,CBAM,,0.038536974,0.049983811,0.044522647,0.045176559,0.041151534,0.030763566,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,India traded low-carbon iron and steel_OECD,India traded low-carbon iron and steel_OECD,CBAM,,0.003448954,0.004522393,0.004097986,0.004226397,0.003929737,0.003017813,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,India traded med-carbon iron and steel_OECD,India traded med-carbon iron and steel_OECD,CBAM,,0.012929181,0.016753211,0.014965126,0.015315216,0.014177407,0.010884218,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Indonesia traded high-carbon iron and steel_OECD,Indonesia traded high-carbon iron and steel_OECD,CBAM,,0.038449495,0.0496169,0.044224066,0.04500036,0.041159424,0.030989135,
