# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_OECD,CBAM,,0.06509773,0.081901201,0.085964483,0.095892886,0.111087549,0.10809916,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_OECD,CBAM,,0.06509773,0.081901201,0.085964483,0.095892886,0.111087549,0.10809916,
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_OECD,CBAM,,0.00634716,0.008032848,0.00838339,0.008255523,0.009658349,0.009458326,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_OECD,CBAM,,0.00634716,0.008032848,0.00838339,0.008255523,0.009658349,0.009458326,
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_OECD,CBAM,,0.024325521,0.030435992,0.031552383,0.032652718,0.039104615,0.03897102,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_OECD,CBAM,,0.024325521,0.030435992,0.031552383,0.032652718,0.039104615,0.03897102,
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.072212661,0.091744344,0.095556218,0.097626528,0.114078733,0.109566192,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.072212661,0.091744344,0.095556218,0.097626528,0.114078733,0.109566192,
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_nonOECD,CBAM,,0.006452378,0.008265528,0.00869988,0.008718115,0.01031669,0.01012137,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_nonOECD,CBAM,,0.006452378,0.008265528,0.00869988,0.008718115,0.01031669,0.01012137,
CBAM_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_nonOECD,CBAM,,0.024303157,0.029534807,0.030400968,0.031450395,0.037826171,0.03792376,
CBAM_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_nonOECD,CBAM,,0.024303157,0.029534807,0.030400968,0.031450395,0.037826171,0.03792376,
CBAM_no_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.04438454,0.063560108,0.043850922,0.035325303,0.037630329,0.007301373,
CBAM_no_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.04438454,0.063560108,0.043850922,0.035325303,0.037630329,0.007301373,
CBAM_no_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_nonOECD,CBAM,,0.003965867,0.005726324,0.003992391,0.003154574,0.003403092,6.74E-04,
CBAM_no_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported low-carbon iron and steel_nonOECD,CBAM,,0.003965867,0.005726324,0.003992391,0.003154574,0.003403092,6.74E-04,
CBAM_no_allowances_EUonly,EU-12,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_nonOECD,CBAM,,0.014937608,0.020461594,0.013951059,0.01138005,0.012477446,0.002527199,
CBAM_no_allowances_EUonly,EU-15,regional iron and steel,imported iron and steel,imported med-carbon iron and steel_nonOECD,CBAM,,0.014937608,0.020461594,0.013951059,0.01138005,0.012477446,0.002527199,
CBAM_no_allowances,USA,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.04438454,0.063560108,0.043850922,0.035325303,0.037630329,0.007301373,
CBAM_no_allowances,Australia_NZ,regional iron and steel,imported iron and steel,imported high-carbon iron and steel_nonOECD,CBAM,,0.04438454,0.063560108,0.043850922,0.035325303,0.037630329,0.007301373,
