# File: A_OutputsByTech.csv,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,
# Units: EJ,,,,,,,,,
# Column types: cccccnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,Units
Australia_NZ,H2 central production,biomass,H2 central production,biomass to H2,0,0,0,0,EJ
Australia_NZ,H2 central production,electricity,H2 central production,electrolysis,0,0,0,0,EJ
Australia_NZ,H2 central production,gas,H2 central production,natural gas steam reforming,0,0,0,0,EJ
Australia_NZ,H2 central production,nuclear,H2 central production,thermal splitting,0,0,0,0,EJ
Australia_NZ,H2 central production,solar,H2 central production,electrolysis,0,0,0,0,EJ
Australia_NZ,H2 central production,wind,H2 central production,electrolysis,0,0,0,0,EJ
Australia_NZ,H2 industrial,H2 delivery,H2 industrial,H2 delivery,0,0,0,0,EJ
Australia_NZ,H2 industrial,forecourt production,H2 industrial,electrolysis,0,0,0,0,EJ
Australia_NZ,H2 liquid truck,H2 liquid truck,H2 liquid truck,H2 liquid truck,0,0,0,0,EJ
Australia_NZ,H2 pipeline,H2 pipeline,H2 pipeline,H2 pipeline,0,0,0,0,EJ
Australia_NZ,H2 retail delivery,H2 retail delivery,H2 retail delivery,H2 retail delivery,0,0,0,0,EJ
Australia_NZ,H2 retail dispensing,H2 retail dispensing,H2 retail dispensing,H2 retail dispensing,0,0,0,0,EJ
Australia_NZ,H2 wholesale delivery,H2 liquid truck,H2 wholesale delivery,H2 liquid truck,0,0,0,0,EJ
Australia_NZ,H2 wholesale delivery,H2 pipeline,H2 wholesale delivery,H2 pipeline,0,0,0,0,EJ
Australia_NZ,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 liquid truck,0,0,0,0,EJ
Australia_NZ,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 pipeline,0,0,0,0,EJ
Australia_NZ,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,electrolysis,0,0,0,0,EJ
Australia_NZ,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,natural gas steam reforming,0,0,0,0,EJ
Australia_NZ,agricultural energy use,mobile,agricultural energy use,electricity,0,0,0,0,EJ
Australia_NZ,agricultural energy use,mobile,agricultural energy use,hydrogen,0,0,0,0,EJ
Australia_NZ,agricultural energy use,mobile,agricultural energy use,refined liquids,0.041967,0.0812923,0.075238,0.082935,EJ
Australia_NZ,agricultural energy use,stationary,agricultural energy use,coal,3.16E-04,9.78E-04,0.0015732,0.00173525,EJ
Australia_NZ,agricultural energy use,stationary,agricultural energy use,electricity,0.010568,0.0136882,0.0156498,0.0192368,EJ
