# File: A_Policy_RES_Coefs.csv
# Title: Policy RES coefs for minimum proportion of market
# Units: Refined liquid proportion (biofuel targets)
# Column types: cccccccnnnn
# ----------
region,market,policy.portfolio.standard,policyType,supplysector,subsector,technology,2020,2025,2030,2100
Argentina,Argentina,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.06,0.06,0.06,0.06
Argentina,Argentina,biodiesel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.05,0.05,0.05,0.05
Brazil,Brazil,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.135,0.135,0.135,0.135
Brazil,Brazil,biodiesel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.05,0.05,0.05,0.05
Canada,Canada,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.037,0.037,0.037,0.037
China,China,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.011,0.011,0.011,0.011
EU-12,EU,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.06,,,
EU-12,EU,adv-biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,,0.01,0.035,0.035
EU-15,EU,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.06,,,
EU-15,EU,adv-biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,,0.01,0.035,0.035
Indonesia,Indonesia,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.05,0.1,0.1,0.1
Indonesia,Indonesia,biodiesel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.075,0.125,0.15,0.15
India,India,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.042,0.042,0.042,0.042
South Korea,South Korea,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.013,0.013,0.013,0.013
South Africa,South Africa,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.025,0.05,0.05,0.05
USA,USA,biofuel-target,RES,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.1156,0.1156,0.1156,0.1156
