# File: A_Policy_RES_SecOut.csv,,,,,,,,
# Title: Policy targets secondary outputs,,,,,,,,
# Units: NA,,,,,,,,
# Comments: For some RES policies with final energy (currently only for elec sectors) we want to calculate the losses between the energy transformation and the final energy use,,,,,,,,
# In this case leave output.ratio blank and insert a 1 into calculate_elec_losses,,,,,,,,
# Column types: cccccniii,,,,,,,,
# ----------,,,,,,,,
region,supplysector,subsector,stub.technology,res.secondary.output,output.ratio ,start.year,end.year,calculate_elec_losses
Argentina,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2100,
Argentina,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2100,
Argentina,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2100,
Argentina,refining,biomass liquids,FT biofuels,biodiesel-target,1,2020,2100,
Argentina,refining,biomass liquids,FT biofuels CCS level 1,biodiesel-target,1,2020,2100,
Argentina,refining,biomass liquids,FT biofuels CCS level 2,biodiesel-target,1,2020,2100,
Argentina,refining,biomass liquids,corn ethanol,biofuel-target,1,2020,2100,
Argentina,refining,biomass liquids,biodiesel,biodiesel-target,1,2020,2100,
Argentina,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2100,
Brazil,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2100,
Brazil,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2100,
Brazil,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2100,
Brazil,refining,biomass liquids,FT biofuels,biodiesel-target,1,2020,2100,
Brazil,refining,biomass liquids,FT biofuels CCS level 1,biodiesel-target,1,2020,2100,
Brazil,refining,biomass liquids,FT biofuels CCS level 2,biodiesel-target,1,2020,2100,
Brazil,refining,biomass liquids,sugar cane ethanol,biofuel-target,1,2020,2100,
Brazil,refining,biomass liquids,biodiesel,biodiesel-target,1,2020,2100,
Brazil,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,FT biofuels,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,FT biofuels CCS level 1,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,FT biofuels CCS level 2,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,corn ethanol,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,biodiesel,biofuel-target,1,2020,2100,
Canada,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2100,
China,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2100,
China,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2100,
China,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2100,
China,refining,biomass liquids,FT biofuels,biofuel-target,1,2020,2100,
China,refining,biomass liquids,FT biofuels CCS level 1,biofuel-target,1,2020,2100,
China,refining,biomass liquids,FT biofuels CCS level 2,biofuel-target,1,2020,2100,
China,refining,biomass liquids,corn ethanol,biofuel-target,1,2020,2100,
China,refining,biomass liquids,biodiesel,biofuel-target,1,2020,2100,
China,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2100,
EU-12,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,FT biofuels,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,FT biofuels CCS level 1,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,FT biofuels CCS level 2,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2020,
EU-12,refining,biomass liquids,cellulosic ethanol,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 1,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 2,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,FT biofuels,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,FT biofuels CCS level 1,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,FT biofuels CCS level 2,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,BTL with hydrogen,adv-biofuel-target,1,2025,2100,
EU-12,refining,biomass liquids,corn ethanol,biofuel-target,1,2020,2100,
EU-12,refining,biomass liquids,biodiesel,biofuel-target,1,2020,2100,
EU-12,refining,biomass liquids,sugar cane ethanol,biofuel-target,1,2020,2100,
EU-15,refining,biomass liquids,cellulosic ethanol,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 1,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 2,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,FT biofuels,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,FT biofuels CCS level 1,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,FT biofuels CCS level 2,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,BTL with hydrogen,biofuel-target,1,2020,2020,
EU-15,refining,biomass liquids,cellulosic ethanol,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 1,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 2,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,FT biofuels,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,FT biofuels CCS level 1,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,FT biofuels CCS level 2,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,BTL with hydrogen,adv-biofuel-target,1,2025,2100,
EU-15,refining,biomass liquids,corn ethanol,biofuel-target,1,2020,2100,
EU-15,refining,biomass liquids,biodiesel,biofuel-target,1,2020,2100,
