# File: A_elasticity.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Changes to price/income elasticity,,,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,region,energy.final.demand,elasticity.type,SSP,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_elasticity_eu,EU-15,trn_pass,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,trn_pass,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,trn_freight,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,trn_freight,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,trn_pass,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,trn_pass,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,trn_freight,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,trn_freight,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,regional iron and steel,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,other industry,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,chemical,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,aluminum,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-15,cement,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,regional iron and steel,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,other industry,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,chemical,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,aluminum,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,EU-12,cement,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
