# File: CO2byTech.csv,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,
# Units: MTC,,,,,,,,
# Column types: ccccnnnnc,,,,,,,,
# ----------,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,Units
China,H2 central production,biomass,biomass to H2,0,0,0,0,MTC
China,H2 central production,gas,natural gas steam reforming,0,0,0,0,MTC
China,H2 wholesale dispensing,forecourt production,natural gas steam reforming,0,0,0,0,MTC
China,N fertilizer,coal,coal,17.4068,33.6783,39.9423,43.9795,MTC
China,N fertilizer,gas,gas,1.62878,3.15133,3.73745,4.11875,MTC
China,N fertilizer,hydrogen,hydrogen,0,0,0,0,MTC
China,N fertilizer,refined liquids,refined liquids,1.38858,2.68659,3.18628,3.50834,MTC
China,agricultural energy use,mobile,refined liquids,9.73461,9.73329,9.27187,11.6286,MTC
China,agricultural energy use,stationary,coal,12.0426,10.9124,12.7945,15.5852,MTC
China,agricultural energy use,stationary,gas,0.0594412,0,0.024965,0.046958,MTC
China,agricultural energy use,stationary,refined liquids,2.43365,2.43332,2.31797,2.90715,MTC
China,alumina,coal,coal,0,4.36575,11.422,14.6139,MTC
China,alumina,coal,coal CCS,0,0,0,0,MTC
China,alumina,gas,gas,0,0.394815,1.03296,1.32161,MTC
China,alumina,gas,gas CCS,0,0,0,0,MTC
China,alumina,refined liquids,refined liquids,0,0.197215,0.515993,0.66018,MTC
China,alumina,refined liquids,refined liquids CCS,0,0,0,0,MTC
China,backup_electricity,gas,gas (steam/CT),0,0,0,0,MTC
China,cement,cement,cement,28.806,145.501,221.68,221.68,MTC
China,chemical energy use,coal,coal,14.646,53.9386,68.9286,86.1704,MTC
China,chemical energy use,gas,gas,0,1.47856,3.67259,5.423,MTC
China,chemical energy use,refined liquids,refined liquids,2.18813,3.08779,13.8957,8.47935,MTC
China,chemical feedstocks,gas,gas,1.70685,2.39903,1.92698,3.36888,MTC
China,chemical feedstocks,refined liquids,refined liquids,0,0,0,0,MTC
China,comm heating,coal,coal,17.3386,25.1297,29.0412,34.2546,MTC
China,comm heating,gas,gas,0.218921,1.86536,2.7552,4.8194,MTC
China,comm heating,refined liquids,refined liquids,2.5496,5.31745,7.26716,8.58597,MTC
China,comm others,biomass,biomass,0.0106168,0.0048806,0.0029532,0.0038824,MTC
China,comm others,coal,coal,7.8784,11.4186,13.1959,15.5648,MTC
China,comm others,gas,gas,0.0654067,0.557312,0.823171,1.43989,MTC
China,comm others,refined liquids,refined liquids,1.30344,2.71845,3.7152,4.38942,MTC
China,construction energy use,mobile,refined liquids,1.21756,2.73113,3.96247,4.75667,MTC
China,construction energy use,stationary,coal,2.45926,3.64089,4.28085,5.20421,MTC
China,construction energy use,stationary,gas,0.527243,0.0743015,0.0576577,0.107589,MTC
China,construction energy use,stationary,refined liquids,0.30439,0.682783,0.990619,1.18917,MTC
China,csp_backup,gas,CSP gas hybrid mode,0,0,0,0,MTC
China,delivered gas h2,delivered gas h2,delivered gas h2,0,0,0,0,MTC
China,desalinated water,gas,distillation,2.52E-04,0.00118633,0.00185841,0.00226785,MTC
China,desalinated water,refined liquids,distillation,0.00251991,0.00553058,0.00460292,0.00403778,MTC
China,district heat,biomass,biomass,0,0.465046,1.08606,1.41881,MTC
China,district heat,coal,coal,16.9885,2.57709,7.7426,10.2099,MTC
China,district heat,gas,gas,0.129582,0,0,0,MTC
China,district heat,refined liquids,refined liquids,2.94462,2.37698,4.7301,3.86441,MTC
China,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling),0,0,0,0,MTC
China,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through),0,0,0,0,MTC
China,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating),0,0,0,0,MTC
China,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater),0,0,0,0,MTC
China,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond),0,0.120568,0.785009,1.47653,MTC
China,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling),7.11E-06,0.139688,0.909483,1.71066,MTC
China,elec_biomass (conv),biomass (conv),biomass (conv) (once through),7.11E-06,0.2997,1.9513,3.67024,MTC
China,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating),4.98E-05,1.11767,7.27701,13.6874,MTC
China,elec_biomass (conv),biomass (conv),biomass (conv) (seawater),4.27E-05,0.0447807,0.291576,0.548431,MTC
