# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
REF_LIQ_TRN,refined liquids transport,refined liquids transport,refined liquids transport
FE_RES,delivered biomass,delivered biomass,delivered biomass
FE_RES,delivered coal,delivered coal,delivered coal
FE_RES,delivered biomass industry,delivered biomass industry,delivered biomass industry
FE_RES,delivered coal industry,delivered coal industry,delivered coal industry
FE_RES,wholesale gas,wholesale gas,wholesale gas
FE_RES,delivered gas,delivered gas,delivered gas
FE_RES,delivered gas transport,delivered gas transport,delivered gas transport
FE_RES,refined liquids enduse,refined liquids enduse,refined liquids enduse
FE_RES,refined liquids transport,refined liquids transport,refined liquids transport
FE_RES,refined liquids industrial,refined liquids industrial,refined liquids industrial
FE_RES,H2 wholesale delivery,H2 liquid truck,H2 liquid truck
FE_RES,H2 wholesale delivery,H2 pipeline,H2 pipeline
FE_RES,H2 industrial,forecourt production,electrolysis
FE_RES,H2 wholesale dispensing,H2 delivery,H2 liquid truck
FE_RES,H2 wholesale dispensing,H2 delivery,H2 pipeline
FE_RES,H2 wholesale dispensing,forecourt production,electrolysis
FE_RES,H2 wholesale dispensing,forecourt production,natural gas steam reforming
FE_RES,elect_td_bld,elect_td_bld,elect_td_bld
FE_RES,elect_td_bld,rooftop_pv,rooftop_pv
FE_RES,elect_td_ind,elect_td_ind,elect_td_ind
FE_RES,elect_td_trn,elect_td_trn,elect_td_trn
RESID,resid cooling,electricity,electricity
RESID,resid heating,electricity,electricity
RESID,resid heating,biomass,biomass
RESID,resid heating,coal,coal
RESID,resid heating,gas,gas
RESID,resid heating,gas,hydrogen
RESID,resid heating,refined liquids,refined liquids
RESID,resid heating,district heat,district heat
RESID,resid others,electricity,electricity
RESID,resid others,biomass,biomass
RESID,resid others,coal,coal
RESID,resid others,gas,gas
RESID,resid others,gas,hydrogen
RESID,resid others,refined liquids,refined liquids
RESID,resid others,district heat,district heat
ELEC_RES,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse
TPES_GAS,regional biomass,regional biomass,regional biomass
TPES_GAS,regional biomassOil,regional biomassOil,Soybean
TPES_GAS,regional biomassOil,regional biomassOil,OilCrop
TPES_GAS,regional biomassOil,regional biomassOil,OilPalm
TPES_GAS,regional coal,domestic coal,domestic coal
TPES_GAS,regional coal,imported coal,imported coal
TPES_GAS,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_GAS,regional natural gas,domestic natural gas,domestic natural gas
TPES_GAS,regional natural gas,imported natural gas,imported natural gas
TPES_GAS,regional oil,domestic crude oil,domestic crude oil
TPES_GAS,regional oil,imported crude oil,imported crude oil
TPES_GAS,elec_CSP,CSP,CSP (dry_hybrid)
TPES_GAS,elec_CSP,CSP,CSP (recirculating)
TPES_GAS,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_GAS,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_GAS,elec_Gen_III,Gen_III,Gen_III (cooling pond)
TPES_GAS,elec_Gen_III,Gen_III,Gen_III (once through)
TPES_GAS,elec_Gen_III,Gen_III,Gen_III (recirculating)
TPES_GAS,elec_Gen_III,Gen_III,Gen_III (seawater)
TPES_GAS,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
