# File: GCAM3_GDP.csv
# Title: GCAM 3.0 GDP MER
# Units: million 1990 USD
# Column types: ciiiiiiiiiiiiiiiiiiiiii 
# ----------
region_GCAM3,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,250238,372580,1377181,1779401,2127762,2320268,2825065,3562904,4692412,6152399,8035338,10462123,13579575,17531784,22423704,28415556,35616817,44121860,53989150,65261452,78012808,92269962
Australia_NZ,174747,260506,801567,909963,1041015,1133139,1300915,1450322,1596150,1745667,1907344,2068023,2242485,2434145,2645910,2851418,3065565,3309061,3573759,3858816,4190366,4560494
Canada,278868,440750,1030387,1091076,1213484,1255357,1435101,1558514,1673814,1787244,1904923,2026657,2154759,2287697,2480309,2680798,2873953,3095625,3353209,3640339,3975749,4351806
China,118793,386370,2552404,4305806,6279626,8303907,10634263,12772697,14804462,16316396,17517929,18489821,19559475,20582100,21491516,22304995,23127885,23715789,24085718,23968431,23947254,24701782
Eastern Europe,232364,284949,910048,1063182,1190823,1353982,1612569,1853270,2041236,2199126,2337669,2469702,2607630,2765275,2937766,3107429,3288040,3476315,3692532,3941948,4207567,4517534
Former Soviet Union,410608,468434,1423052,1729532,1928860,2049428,2235853,2445759,2689729,2921266,3134987,3328369,3546992,3835814,4180173,4544679,4911682,5288548,5696140,6098761,6529692,6998915
India,106889,218502,852145,1270409,1763067,2122460,2956828,3932625,4957997,5953936,6932792,7912808,8947693,10061557,11444012,12862925,14294763,15715615,17175056,18657116,20193203,21760090
Japan,1830700,3341320,3781827,3772701,3974845,3906975,4152262,4261505,4384196,4477312,4561959,4628361,4720589,4866434,5028740,5187528,5334620,5491533,5693573,5936891,6226530,6550105
Korea,71339,230019,586358,724161,841625,933753,1061338,1167442,1222925,1240382,1241642,1227330,1217642,1192747,1199014,1195796,1175744,1156340,1155132,1135457,1137464,1165019
Latin America,814694,1187430,3128408,3799576,4247124,4012620,4702534,5303048,5950526,6602554,7279491,7972893,8681334,9401276,10326966,11282775,12281265,13331415,14363811,15399459,16480391,17645927
Middle East,298287,354600,1448790,1819952,2171050,2274113,2751030,3174801,3649343,4134054,4626568,5134082,5688505,6325054,7040928,7794368,8615225,9521599,10505731,11515817,12625865,13877229
Southeast Asia,222332,593705,2058224,2655916,3345436,3885773,4794275,5891266,7022703,8261364,9628290,11124899,12787793,14628293,16880083,19337036,21991264,24883318,27917225,31141071,34611753,38271143
USA,3473910,5728530,9771966,10253121,11383652,12103627,13666266,15018768,16150742,17150352,18192945,19278562,20438048,21609174,22559639,23389268,24125371,24946679,25851452,26810346,27940468,29232716
Western Europe,3802400,5646240,12632110,13215417,14148057,14408695,16545729,17839515,19081132,20494461,22034757,23665439,25394341,27253534,29324945,31479122,33588876,35877140,38395106,41068796,44024497,47327558
