# File: GCAM3_population.csv
# Title: GCAM 3.0 population
# Units: thousands
# Source: Output database of any GCAM 3.0 model run
# Column types: ciiiiiiiiiiiiiiiiiiiiiii 
# ----------
region_GCAM3,1960,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,280903,411632,629699,916193,1041484,1185463,1344070,1512429,1692186,1880099,2073831,2270126,2465755,2657439,2842982,3020949,3189578,3346896,3490825,3620869,3735552,3834302,3917077
Australia_NZ,12565,16918,20308,24181,26216,28227,30603,32152,33595,34889,36050,37114,38085,38959,39763,40509,41205,41834,42378,42841,43261,43690,44144
Canada,17726,22981,27474,32067,33789,35568,37764,39275,40858,42368,43705,44835,45806,46683,47553,48472,49422,50328,51133,51843,52493,53145,53836
China,704483,979192,1241483,1423290,1472224,1524951,1565578,1571683,1567624,1555163,1535717,1509902,1474525,1426442,1367701,1305102,1243977,1185183,1126497,1067501,1010743,957821,907505
Eastern Europe,98433,111710,121339,116941,115115,113886,112588,110569,108499,106248,103911,101533,99169,96820,94445,92028,89634,87389,85414,83786,82531,81605,80895
Former Soviet Union,212147,252294,288907,286636,288163,293590,299618,297539,300050,300851,301722,302709,303126,302402,300731,298564,296262,294044,291979,290096,288305,286342,283914
India,440828,616603,861205,1145639,1232085,1315103,1389966,1448211,1509296,1562950,1607764,1642937,1668475,1685329,1694786,1696881,1691267,1677814,1657288,1631104,1601089,1568192,1533400
Japan,94024,111788,123494,127753,128131,127368,125543,122299,118868,115276,111534,107783,104140,100617,97003,93242,89497,86065,83106,80539,78186,75957,73846
Korea,25428,35642,43857,47814,48686,50788,51858,51718,51345,50632,49461,47914,45989,43667,41133,38603,36154,33819,31621,29548,27590,25796,24244
Latin America,214078,315981,434486,550370,583141,616015,645873,668803,691850,711475,727153,738467,745642,748808,748257,744293,736977,726605,713612,698632,682320,665179,647659
Middle East,48902,78514,133693,191946,221021,246567,270463,289904,311045,330772,349732,367621,383897,397946,409642,419094,426613,432594,437274,440965,443801,445661,446365
Southeast Asia,315650,465599,661898,885480,952476,1019247,1081474,1146725,1210905,1270722,1325133,1373275,1415018,1450137,1478870,1501383,1517541,1527489,1531517,1530238,1524283,1514496,1501530
USA,177084,213208,249892,299228,313614,326878,338668,345989,354602,362440,369062,374170,377827,380501,383032,385796,388678,391179,392895,393846,394396,394838,395281
Western Europe,294187,380184,412972,469979,485269,498979,511511,519083,524543,529200,532786,535101,535709,534393,531581,528335,525390,522858,520489,518098,515689,513356,511079
