# File: gdp_iam_compact.csv
# Title: GCAM iam compact GDP
# Units: 2017 GDP|PPP international dollars
# Source: hamonization exercise for iam compact project (2023)
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
iso,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,3333962814,3441063262,3422237528,3458265171,3710219015,3715247914,3727852029,3853006100,3932855160,3484224528,3380036016,3495914245,3467116275,3686646292,3681420493,3808572696,3895310982,4108226132,4317392227,4333552349,3548175848,4141885005,4361317156,4453117900,4489987260,4568317887,4605994950,4643982924,4724466768,4915834313.92175,5099805515.44284,5327490301.36922,5545273523.21952,5753077733.77998,5949248492.80853,6135542657.25982,6382259827.68028,6612470673.19586,6831897289.35867,7043608385.61107,7246821699.91415,7509826177.16168,7767247636.26531,8016153105.72634,8259443583.57431,8495442417.30005,8805961766.28708,9109928249.84544,9407045510.43061,9698375686.80095,9985182522.48909,10346357727.4466,10700474485.2727,11045751077.181,11381383713.9232,11710316084.3531,12156306467.8218,12597788319.5322,13026340240.6604,13444348952.0492,13851547067.0771,14374688039.7828,14883357539.1139,15374581744.6176,15854709601.072,16318711914.5801,16878070250.5992,17421093458.6614,17956112862.645,18478061285.9447,18993097449.059,19604125241.4119,20209806939.7449,20806211016.1145,21384758029.307,21935963347.4123,22544948484.3874,23111606446.5712,23646871616.0614,24154686150.766,24645736345.5126,25209334935.4717,25774146882.9538,26337537147.9454,26893982127.4767,27451864662.1745,28090716323.7754,28727771255.3865,29365887618.8067,30003435944.7518,30644823407.4356,31392357183.0509,32145125919.3615,32924643013.942,33713674982.4348,34533726770.3913,35498978197.971,36541827893.2853,37590914886.3885,38638161480.4357,39678430647.0207
AFG,,,26989879683,29336607986,29532764765,33027093006,34797440436,39438699990,40962877319,49396220340,53564304052,57032758035,64999827096,68693954448,70547245167,71242885050,72785292400,74711924100,75600408800,78557599400,76711584337,82330573040.2688,86897851170.9985,91955330961.4592,96917739102.5582,102052900757.68,108578645400.486,115160313834.471,121962618864.639,128899561269.769,135962892214.433,144918218100.338,153911430358.743,162998317477.838,172203979073.634,181521459997.744,193578867305.026,205814317105.869,218102775194.619,230458292424.238,242840354022.926,258889076438.116,274992885496.752,291089223086.505,307173391882.807,323250536381.502,344400897496.643,365483931797.904,386567882153.219,407564050624.033,428508629157.466,456034024090.827,483565364997.233,511093019079.836,538556771667.992,565966108440.058,601554811047.425,637085754376.756,672612594344.694,708016998765.834,743381345134.84,788647118875.596,833776011095.394,878641679406.983,923242389398.012,967528472007.478,1023953796284.32,1080000252481.53,1135625104944.05,1190746992796.11,1245390108110.88,1314818297262.7,1383598758539.74,1452005768032.98,1519738606039.85,1586777021079.12,1670749329738.25,1753956137730.63,1836219205185.93,1917774693977.25,1998658457590.44,2098985194854.02,2198400719392.3,2297202627968.05,2396107080931.37,2493471715063.83,2612320088653.6,2730291917535.82,2846757484453.68,2961898586670.38,3075701447469.19,3212239549667.65,3348052798257.6,3482668407597.85,3615666376094.17,3747614295550.5,3904792480194.79,4060067106600.37,4214442531451.19,4367362311461.12,4519027155509.94
AGO,77118064548,80363902624,91343225020,94073183844,104378341707,120066315858,133928665736,152697115080,169748490032,171204603612,179519770584,185753297792,201619209912,211611043963,221813502656,223911481344,218134094780,217807675434,214941104338,213431314208,201392100484,203595613552,209376914123,216687512727,224604953612,233489281648,242952713388,253049897136,263753432322,269995634881.924,276439051182.583,280245386695.33,284193773962.747,288295048785.227,292529872143.225,296900613755.581,303083182323.455,309392502190.425,315776549228.557,322258522563.56,328841843991.951,339549536821.984,350427747852.792,361462696956.394,372670169662.459,384027433242.312,401168617051.407,418575203442.121,436192062939.464,454036149789.763,472089605668.444,496796995266.96,521849541838.904,547208084654.749,572824772407.978,598707884618.6,632592999852.218,666887690757.46,701468077730.999,736510958579.432,771834914579.562,816437875051.024,861581460865.484,907180401196.082,953233084595.853,999749943218.726,1057369820209.67,1115670072138.57,1174662069289.63,1234261648615.31,1294435604022.4,1367424910166.19,1441339400998.24,1516187049313.11,1591578269299.46,1667354282944.81,1757387644675.45,1848348354263.89,1940029020359.43,2032639375682.51,2125788745168.02,2232628988283.99,2340585602096.7,2448955884563.26,2557925168387.46,2667714120241.42,2792989798446.39,2919233678413.25,3046029017423.69,3173746078024.42,3302075586147.94,3446448603576.9,3591360305097.94,3737233633838.26,3884277423347.92,4031966695162.7,4195286912284.9,4359778769091.35,4525728946582.42,4692668984786.2,4860566080122.8
ALB,18654424665,20200522680,21118057884,22288486560,23515155663,24810200394,26282870871,27851065110,29936902051,30949448976,32091210150,32906091190,33370166600,33708123570,34306123860,35072204982,36229837676,37606483264,39123907182,39938237030,38549250124,41829966386,43387686160,44363267846,45857223900,47402851800,49025086623,50696154327,52415390840,53478153825.2247,54479515070.081,55593408838.2969,56650962741.8123,57630726340.2266,58570873092.364,59446949840.6999,60386979964.1933,61283879377.3102,62187286659.5029,63044255307.731,63920349947.38,64896598618.7451,65840248505.9811,66745215102.8712,67628740511.5678,68488076989.3042,69439646665.0545,70361044717.5069,71329917139.3096,72247690060.8185,73194793513.5054,74173450237.5439,75103738159.4094,76032298478.8312,76931872159.5131,77810282179.3371,78991521946.2605,80089417151.2033,81180411695.4751,82131497100.4661,83031203205.4312,83985599916.5773,84800488614.1936,85606932163.7324,86293043063.0683,86827546848.0555,87067947085.1221,87246237795.0276,87320062307.1828,87303539588.7546,87206971195.2298,87098660017.2097,86950967986.5679,86932172111.2784,86946300882.5235,86890659081.299,86790456083.6891,86888678731.102,86791153838.5377,86875932146.6756,86846288793.2045,86717651448.3286,86685565840.4251,86665160149.0577,86601047634.6731,86522208404.8334,86241557357.9547,85938918046.8437,85476027967.1829,84990688289.6167,84438321639.5504,84002972108.1494,83586782187.4241,83246434041.6496,82933449451.4391,82567169282.5878,82140446741.0191,81611118830.4438,80976817337.9663,80302326327.5918,79571206420.1542
AND,,,,,,,,,,,4232696020,4263776230,4052490260,3897104120,4017094303,4065158736,4194237484,4226414775,4271820768,4393813944,3878802408,4251456880,4588219566,4671609599,4707101952,4797982312,4887972232,4921777074,5010247606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,317068178820,321140206841,329099424832,358103705676,392399214945,411453908396,451916898748,466554858939,481575853462,456375264000,463648521832,495775862856,519432456522,545697988689,568462923399,607034179829,640780695898,645483608000,653995893747,661250693664,628427107854,653077274886,701440216416,726133812100,754353739224,784684215315,817617100206,852500621873,889562537600,910915365666.665,931868968664.555,953639083113.491,974864225237.004,995673183538.093,1016234317906.86,1036716631371.29,1060170367161.48,1083026537241.96,1105058636730.59,1126424471937.46,1147087522175.99,1168966763088.5,1190139821424.55,1210580628267.52,1230304540258.16,1249320049160.89,1269756953997.38,1289592935812.97,1308817904818.48,1327349509751.89,1345224062433.47,1366737879452.65,1387680359676.15,1408077634529.06,1427911452741.72,1447263889387.4,1471639639215.91,1495948651805.48,1520271950414.04,1544916747879.64,1569996825009.93,1593852413970.69,1618590695499.44,1644604348084.49,1671956013501.99,1700762128308.68,1724854198803.66,1750163238417.3,1776628573497.1,1803796940932.25,1831732228053.58,1860813779051.93,1889788722054.34,1918320126147.11,1947091672198.6,1976985686462.3,2010270996188.78,2045879901029.14,2083619226051.52,2121710461090.36,2158178578050.07,2198061111987.71,2237101296976.64,2275403208720.77,2312976777424.01,2350212235777.33,2389571769742.57,2429373599364.93,2470129024466.64,2512072803811.12,2555743735967.9,2603182609470.86,2652680150892.33,2704061169169.01,2756762834976.93,2810790656297.42,2864713501423.45,2920915123864.17,2979821310042.38,3040850992838.17,3104217450223.9
ARG,686731310496,656448465316,584940730772,637322750750,694109810430,755548117056,816359558683,889876823692,925999207812,871176015522,959385560760,1016985820169,1006552676511,1030771811608,1004882724330,1032316414084,1010831481930,1039335062310,1012138532790,991882283372,893249411012,986134308780,1037828343700,1039904464406,1060710869678,1081919209554,1103561310060,1125638289064,1148159959200,1173869648892.49,1199161790012.7,1224288723714.25,1248778004037.15,1272435335836.68,1294895965965.44,1316944882172.94,1338125963226.06,1358962454401.64,1379399469551.8,1399471562279.56,1419290807087.07,1438929822224.42,1458406439140.22,1477827211293.83,1497318587557.33,1516919168371.05,1536701759683.39,1556575280838.76,1576722743686.6,1597013945721.25,1617473682196.57,1638147388831.31,1658851031653.55,1679528577646.9,1700014482928.36,1720328753307.23,1740633243584.55,1760966752551.37,1781408860960,1802183259577.05,1823277738629.88,1855620779505.98,1887573060106.98,1919144605699.08,1950122032918.7,1980508110135.7,2011830242970.76,2042573666030.7,2072799558459.72,2102299271306.07,2131326836469.79,2160187573371.75,2189252209952.23,2218323462929.7,2247117438573.67,2275305686956.79,2303071865787.04,2330858936772,2358487597890.62,2386125436912.46,2413379735946.79,2442518900582.83,2471261116393.49,2499930256738.07,2528306347762.54,2555880264246.93,2584044409697.35,2611688856185.1,2638748198877.68,2665320818227.41,2691321901527.29,2718021081839.04,2745594647955.72,2774530766060.55,2805937027309.21,2838302155298.52,2871428483268.35,2904959309122.17,2938359500260.17,2971855425001.58,3005244399741.23
ARM,12224094960,13381474860,15362874400,17521690560,19356679290,22088556910,25003806000,28441624510,30417655660,26113585410,26684912176,27942461568,29935815030,30957199560,32071392225,33112479920,33185689624,35670638349,37540181481,40408993995,37521297910,39646011598,44639392666,47106722160,49461056774,51682669729,54004070598,56448784236,58984258008,61028513265.9266,63132462245.5376,65445772455.315,67759331584.7121,69973518115.3897,72132661531.8385,74247783330.7779,76339054275.9525,78448737950.7018,80607111070.1671,82816596285.9604,85099982654.9813,86940499728.7614,88844047218.3582,90785169757.9024,92720984891.8351,94649382215.2888,96293254639.6897,97989855177.9435,99641008311.7304,101317926954.016,103020826433.476,104785176983.954,106543050064.305,108344203537.191,110040075886.347,111703486618.022,113690190542.275,115707534717.892,117678007528.808,119474710309.138,121077077507.359,122991677590.83,124987810030.723,126890838386.341,128793280709.879,130617127600.071,131669061861.414,132794150158.733,133976807978.478,135622560022.695,137532125646.813,138620616292.295,139783844751.808,141001489345.661,142313953264.483,143679057971.355,145276501713.67,146891176751.951,148457268805.25,149913513631.128,151236791755.462,152713564846.511,154491191821.442,156020649042.178,157384585397.526,158365359060.404,159189602457.465,159914855388.517,160280289172.902,160584499535.259,160574028991.112,160670233875.845,160721454775.284,160986072112.679,161275582510.298,161656331279.394,161905541418.536,162239058502.076,162631106583.803,163067387573.636,163547238202.675
ATG,1399392788,1330634921,1348111908,1416401064,1502271110,1603365360,1810497906,1982003550,1983397963,1746854508,1609843645,1579245520,1628154192,1613261144,1668496528,1744611141,1832426836,1901740790,2023297365,2112021408,1695324344,1776704886,1901085226,1997917656,2117405472,2195364045,2247316176,2321582040,2375895127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,754962863085,774991815066,807266164725,831650791509,865852971984,891833987248,915167820960,955180268336,979483743420,998576466134,1022650641096,1050920820774,1090526619232,1114565579622,1143067875000,1169202311550,1200648904392,1229230428932,1263884832672,1288432337532,1265075487038,1330810743591,1379524519616,1401501780320,1425312065962,1455125828008,1486970216220,1520925106932,1555697918634,1588618527958,1621628440409.18,1654940826828.52,1688063410435,1720679296089.02,1753425103428.93,1786768665504.03,1819324095826.46,1852283074438.16,1885859462820.11,1920086444930.18,1955414791494.42,1991649266763.82,2028340915343.92,2065251129841.03,2101906193373.96,2138318673396.27,2174041307775.8,2209289125945.21,2245282156210.06,2282100735308.03,2319673028550.31,2357758496232.3,2396431206485.77,2436094192613.61,2476723280499.41,2518429977532.42,2561011493021.63,2604397517518.83,2648664919958.79,2693695798905.47,2739522021672.74,2786994452135.47,2834081763110.65,2880657918032.19,2926456316022.55,2971222988394.8,3016240707782.55,3061159651911.25,3105900200134.46,3150034511452.37,3193194381504.94,3237112355942.03,3282678237331.98,3329282887365.6,3375898209810.09,3422710578015.13,3473922398014.69,3526854389404.47,3580202841635.51,3633413780942.61,3686180216464.72,3744854379210.69,3802282242849.09,3858844645768.15,3915739550211.41,3972762048454.45,4033907995401.41,4095381771762.32,4156978659414.51,4219313226327.5,4282634156220.76,4351945600376.74,4422695014501.03,4495732103506.98,4570042747725.45,4644615892820,4725310614392.6,4806545547777.64,4888391123491.76,4971002510687.97,5054580397654.33
