# File: population_iam_compact.csv
# Title: GCAM iam compact population
# Units: people
# Source: hamonization exercise for iam compact project (2023)
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,38123,39472,40991,42526,44084,45654,47274,48915,50579,52228,53860,55356,56266,57099,57851,58504,59059,59522,59521,59420,59240,58973,58660,59051,59680,60375,61056,61329,61602,61874,62138,62395,62832,63400,63966,64383,64573,64533,64367,64296,64895,66528,69200,71183,73537,75884,78216,80618,83098,85612,88122,90080,91301,92261,93141,93938,95028,96185,97389,98603,99821,100862,101714,102509,103251,103937,104578,105171,105706,106217,106668,106501,106572,106318,106236,106119,105968,105794,105584,105338,105071,104776,104447,104103,103717,103335,102905,102472,102010,101527,101017,100472,99916,99315,98705,98078,97414,96724,96023,95287,94563,93807,93035,92256,91462,90658,89858,89071,88272,87489,86714,85955,85209,84464,83742,83043,82346,81666,81004,80347,79705,79074,78441,77812,77188,76568,75950,75330,74699,74077,73445,72810,72178,71552,70896,70251,69601,68944,68282,67618,66951,66290,65617,64961,64297,63643,62998,62358,61733,61104,60483
AFG,7436561,7524361,7618712,7716353,7812738,7915832,8028029,8147425,8272978,8394675,8541748,8703184,8877096,9060997,9253932,9457096,9673198,9893096,10126964,10368595,10620384,10885559,11146155,11427350,11723259,12016498,12298274,12552261,12822342,13055383,12917355,12055908,10254482,9922095,9980803,10506570,10517873,10379010,10266506,10500413,10845924,10543668,10946666,13168200,14839320,16071789,16766035,17447156,18130482,18855782,19669913,19416052,19961213,22039300,23250960,23856141,24966240,25919648,25886953,26967445,27803170,28576174,29922140,31010817,32071600,33360820,34146178,35126237,36160598,37212970,38326027,39618434,40580490,41677052,42802656,43943243,45088344,46246757,47408490,48573335,49742809,50918865,52094008,53276908,54456208,55637053,56816658,58003630,59196868,60389014,61582165,62778518,63973176,65171769,66365878,67564103,68758436,69952907,71139197,72319551,73492008,74658459,75815884,76964043,78100426,79227354,80349059,81450604,82546200,83622344,84682264,85727959,86754335,87755374,88741838,89715279,90664352,91597916,92521116,93424708,94298916,95148223,95976918,96790432,97584131,98356856,99107260,99840214,100552768,101240665,101916542,102567628,103194814,103806134,104394396,104959848,105496546,106009128,106500329,106969221,107418420,107843400,108239648,108621183,108981342,109324814,109649467,109955095,110234233,110499609,110742822
AGO,4432912,4523456,4616019,4711897,4805551,4895364,4980871,5063346,5145309,5226369,5313525,5400866,5481800,5561000,5638654,5707744,5765419,5808670,5846336,5890071,5966700,6092701,6261397,6468066,6688393,6916596,7148830,7384731,7639058,7904122,8182314,8477779,8785134,9109170,9444243,9791161,10150081,10515066,10873048,11247473,11631523,12025752,12431629,12833385,13243154,13680908,14143597,14623102,15119190,15614538,16126967,16661157,17222016,17810261,18438424,19103826,19798091,20526590,21292778,22090266,22925082,23803289,24714934,25661651,26632353,27624320,28631122,29678369,30738887,31808179,32898997,33957975,35049572,36128402,37240003,38369265,39516318,40682734,41866864,43070557,44291311,45532017,46791493,48064991,49355167,50660686,51983241,53322414,54674609,56036670,57409913,58798960,60197991,61598111,63014770,64434860,65857631,67288807,68723025,70161623,71605766,73050370,74497801,75948514,77400082,78852476,80298482,81747023,83199068,84638735,86062778,87482662,88898283,90304514,91712466,93109906,94494156,95879648,97243723,98595832,99945274,101287584,102617752,103927406,105227331,106510173,107783928,109027210,110254071,111471455,112667529,113853955,115021424,116174710,117305974,118417662,119517124,120594304,121644326,122677460,123682201,124664629,125629339,126571876,127494892,128391925,129268229,130119969,130942934,131741596,132521804
AIA,4890,5144,5343,5463,5596,5721,5782,5793,5792,5774,5738,5766,5825,5885,5941,5995,6041,6100,6154,6202,6257,6309,6349,6383,6415,6443,6482,6512,6527,6544,6551,6569,6573,6596,6606,6777,7036,7298,7573,7863,8170,8462,8771,9003,9240,9472,9729,9996,10267,10565,10878,11217,11470,11651,11837,12031,12225,12425,12624,12837,13055,13288,13395,13515,13885,14356,14695,14932,15098,15264,15495,15675,15831,15883,15916,15956,15976,16011,16026,16038,16051,16059,16056,16048,16037,16025,16005,15977,15960,15932,15895,15855,15811,15760,15717,15668,15606,15544,15477,15410,15333,15255,15168,15079,14989,14883,14784,14676,14568,14448,14334,14208,14086,13954,13826,13701,13561,13426,13292,13143,13007,12873,12723,12583,12442,12301,12166,12029,11887,11749,11626,11496,11373,11246,11128,11016,10905,10794,10681,10582,10474,10383,10286,10196,10096,10015,9919,9836,9752,9659,9577
ALB,1234474,1270689,1307646,1346251,1387237,1430773,1476688,1524560,1574582,1627383,1682657,1739721,1798436,1858028,1918575,1979450,2040128,2101249,2163636,2227297,2292301,2357161,2422463,2487880,2552993,2617910,2682334,2744786,2804804,2861823,2915703,2967600,3017177,3065181,3110641,3152810,3190640,3223616,3251736,3274301,3290062,3300069,3304094,3303384,3298037,3289960,3278768,3263894,3243544,3220807,3195713,3168328,3138896,3108206,3077776,3047469,3017799,2988975,2963192,2940186,2920897,2905902,2895406,2888980,2885048,2883156,2881805,2880321,2878389,2875637,2872130,2861567,2847853,2836789,2828089,2823951,2819302,2814087,2808134,2801409,2793790,2785407,2776087,2765827,2754650,2742554,2729606,2715695,2700949,2685297,2668867,2651655,2633709,2614994,2595657,2575704,2555136,2534026,2512440,2490392,2467908,2445037,2421857,2398333,2374578,2350646,2326696,2302576,2278348,2254108,2229830,2205512,2181148,2156745,2132283,2107714,2082974,2057999,2032847,2007439,1981722,1955659,1929163,1902290,1875016,1847389,1819321,1790874,1762012,1732745,1703085,1673118,1642781,1612212,1581462,1550552,1519610,1488669,1457801,1427047,1396481,1366134,1336051,1306334,1277069,1248191,1219756,1191800,1164218,1137081,1110337
AND,5948,6061,5593,5314,5301,5832,6400,7010,7651,8337,9062,9823,10608,11419,12260,13120,14005,15087,16402,17757,19141,20580,22063,23601,25186,26819,28460,30127,31771,33376,34908,36314,37661,39535,41329,43032,44587,46622,48648,50661,52616,54523,56346,58221,60091,61983,63872,64423,64941,65430,65880,66315,69325,72372,75443,78424,81227,79214,77123,74987,72717,70322,70813,71212,71521,71722,71769,73312,74361,75666,77020,78380,79688,79960,80216,80466,80690,80901,81095,81279,81453,81604,81743,81855,81973,82057,82134,82174,82205,82231,82223,82197,82141,82066,81955,81820,81657,81460,81234,80964,80670,80337,79980,79585,79167,78722,78257,77765,77255,76740,76214,75672,75133,74588,74050,73511,72971,72436,71910,71379,70859,70352,69869,69376,68901,68446,68011,67567,67147,66748,66336,65953,65568,65211,64858,64511,64172,63846,63524,63214,62909,62628,62330,62051,61789,61525,61275,61029,60801,60565,60355
ARE,72048,77135,82390,87793,93325,98947,104660,110465,116395,122816,129741,137111,144857,152898,161115,169496,178097,186921,195886,231277,275244,320925,368101,416636,466456,517455,569333,659021,754701,855762,961141,1066956,1133404,1202308,1272835,1343826,1415247,1522148,1629670,1737693,1845986,1954317,2062450,2170012,2276556,2381492,2486485,2658985,2833252,3009008,3186118,3364548,3543847,3723462,3903424,4083254,4478733,5319176,6426072,7551297,8433991,8529551,8620859,8709080,8794615,8877288,8956510,9032016,9104575,9175764,9247550,9327028,9403261,9478996,9554746,9628961,9701678,9772417,9840966,9907596,9972573,10036065,10098741,10161276,10223765,10287103,10351590,10417563,10485396,10554990,10626664,10700627,10777096,10854896,10934384,11014778,11095331,11175518,11255372,11334124,11411630,11487312,11561012,11633034,11702084,11769538,11834479,11896815,11955812,12011841,12065192,12115679,12162963,12207390,12249190,12288751,12326586,12362471,12397217,12430313,12463020,12496012,12528756,12562278,12596440,12632190,12669733,12708434,12748911,12790496,12834775,12880970,12929311,12980104,13032415,13086974,13143644,13202117,13262428,13324041,13387011,13451103,13516509,13582995,13650157,13718042,13785698,13853103,13920271,13987797,14055305
ARG,16849682,17185801,17523423,17864283,18201197,18537300,18864073,19198310,19529262,19861442,20187607,20511880,20849425,21191294,21536740,21880234,22227088,22579144,22934883,23291059,23652997,24032608,24414150,24811438,25229737,25669772,26081345,26499169,26928391,27363851,27804417,28245188,28697382,29148142,29606132,30058262,30515962,30980691,31452216,31929369,32402162,32873151,33338375,33798196,34256283,34721109,35171111,35607613,36024328,36442062,36864000,37277547,37683438,38086618,38469709,38867884,39273117,39680584,40071639,40475899,40892778,41307468,41734012,42170718,42605820,43042287,43471844,43864639,44244593,44582599,44908441,45163623,45389937,45630699,45917069,46198664,46476376,46750613,47021302,47287589,47549610,47807511,48059528,48309021,48554102,48795199,49030717,49260992,49486455,49703885,49913231,50115747,50310111,50495463,50674191,50844128,51005445,51158383,51304165,51439027,51563615,51678734,51783146,51878315,51961770,52036749,52099321,52154015,52198161,52232622,52257387,52274210,52281405,52280709,52272435,52256450,52234297,52202199,52163871,52116101,52060366,51996193,51924881,51845740,51760052,51665978,51563955,51456643,51344821,51225274,51102058,50970148,50833157,50689891,50542186,50388748,50230075,50067623,49899780,49727586,49552515,49374382,49192169,49008334,48821781,48632212,48441186,48248805,48054165,47857909,47660656
ARM,1366081,1404000,1444000,1486121,1530997,1578846,1629905,1685126,1743941,1805691,1870776,1937520,2005540,2073152,2139131,2202927,2265175,2325817,2386177,2446745,2505973,2562781,2619065,2677032,2736671,2798622,2862975,2929647,3001400,3075047,3119069,3151177,3184576,3219446,3257136,3287069,3314724,3339641,3363087,3370588,3525783,3587296,3647966,3501145,3413554,3333873,3311692,3286103,3256733,3224367,3187692,3149355,3116912,3093163,3075041,3056449,3038043,3014930,2993856,2972985,2955608,2936978,2920974,2907868,2894901,2884958,2872231,2859439,2844407,2828707,2812496,2798721,2783226,2777712,2778229,2777729,2776278,2773940,2770706,2766779,2762161,2756896,2750953,2744553,2737697,2730401,2722744,2714701,2706300,2697546,2688497,2679120,2669410,2659271,2648790,2638039,2626991,2615608,2603997,2592035,2579772,2567159,2554147,2540735,2526982,2512827,2498191,2483172,2467767,2451975,2435785,2419229,2402330,2384988,2367300,2349165,2330518,2311428,2291902,2271847,2251295,2230351,2209032,2187461,2165515,2143320,2120964,2098382,2075639,2052792,2029976,2007211,1984554,1961973,1939608,1917506,1895634,1874011,1852632,1831525,1810636,1790048,1769636,1749409,1729315,1709300,1689321,1669311,1649218,1629098,1608938
ASM,18717,19348,19503,19620,19720,19795,19858,19946,19928,19907,19859,20312,20940,21604,22294,23018,23764,24480,25216,26001,26792,27358,27829,28297,28761,29263,29882,30513,31118,31738,32353,33418,34701,36032,37438,38898,40429,42012,43672,45392,47184,48452,49531,50624,51724,52853,53949,55051,56104,57102,58086,58373,58275,58079,57802,57449,57059,56616,56149,55632,55100,54599,54021,53362,52628,51805,50931,49965,48961,47887,46754,45624,44446,44099,43730,43359,42963,42582,42186,41770,41353,40930,40500,40060,39624,39183,38749,38330,37910,37491,37097,36701,36323,35955,35605,35264,34938,34630,34333,34024,33712,33403,33089,32772,32450,32127,31797,31462,31121,30775,30421,30068,29716,29353,28977,28599,28221,27839,27450,27053,26652,26242,25838,25419,24993,24574,24148,23712,23274,22840,22393,21952,21508,21064,20611,20159,19716,19257,18815,18358,17892,17430,16967,16496,16003,15524,15025,14525,14009,13489,12955
